droplet_id,camera,cine_file,first_frame,last_frame,best_frame,dark_fraction,y_top,y_bottom,y_sphere,crop_size_px,crop_path
1202,g,sphere1202g.cine,-2675,-2575,-2647,0.4207499921321869,114,207,328,301,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\40mm\sphere1202g_crop.png
1202,v,sphere1202v.cine,-9640,-9410,-9583,0.5057501792907715,57,257,311,301,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\40mm\sphere1202v_crop.png
1212,g,sphere1212g.cine,-2145,-2015,-2117,0.42029792070388794,122,216,329,301,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\40mm\sphere1212g_crop.png
1212,v,sphere1212v.cine,-7715,-7435,-7663,0.5053694844245911,56,256,312,301,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\40mm\sphere1212v_crop.png
1222,g,sphere1222g.cine,-1950,-1830,-1924,0.42026665806770325,120,213,329,301,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\40mm\sphere1222g_crop.png
1222,v,sphere1222v.cine,-7010,-6760,-6961,0.5051703453063965,54,254,312,301,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\40mm\sphere1222v_crop.png
1232,g,sphere1232g.cine,-3240,-3110,-3213,0.42052915692329407,118,213,329,301,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\40mm\sphere1232g_crop.png
1232,v,sphere1232v.cine,-11700,-11430,-11645,0.505767822265625,54,259,312,301,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\40mm\sphere1232v_crop.png
1242,g,sphere1242g.cine,-4800,-4680,-4776,0.42039167881011963,117,212,329,301,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\40mm\sphere1242g_crop.png
1242,v,sphere1242v.cine,-17380,-17100,-17329,0.5057629942893982,53,255,312,301,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\40mm\sphere1242v_crop.png
1252,g,sphere1252g.cine,-2245,-2125,-2221,0.42045000195503235,114,207,329,301,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\40mm\sphere1252g_crop.png
1252,v,sphere1252v.cine,-8090,-7780,-8039,0.5055333375930786,55,256,312,301,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\40mm\sphere1252v_crop.png
1262,g,sphere1262g.cine,-2345,-2235,-2319,0.42087501287460327,123,213,328,301,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\40mm\sphere1262g_crop.png
1262,v,sphere1262v.cine,-8445,-8165,-8397,0.50531005859375,59,252,309,301,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\40mm\sphere1262v_crop.png
1272,g,sphere1272g.cine,-2095,-1995,-2070,0.41952916979789734,116,209,329,301,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\40mm\sphere1272g_crop.png
1272,v,sphere1272v.cine,-7540,-7280,-7492,0.5051590800285339,54,253,312,301,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\40mm\sphere1272v_crop.png
1282,g,sphere1282g.cine,-2500,-2370,-2479,0.4198562502861023,114,207,329,301,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\40mm\sphere1282g_crop.png
1282,v,sphere1282v.cine,-9030,-8730,-8980,0.5059974789619446,54,255,312,301,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\40mm\sphere1282v_crop.png
1292,g,sphere1292g.cine,-2395,-2275,-2370,0.42014583945274353,115,207,329,301,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\40mm\sphere1292g_crop.png
1292,v,sphere1292v.cine,-8630,-8280,-8587,0.5057308673858643,55,255,312,301,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\40mm\sphere1292v_crop.png
