droplet_id,camera,cine_file,first_frame,last_frame,best_frame,dark_fraction,y_top,y_bottom,y_sphere,crop_path
1042,g,sphere1042g.cine,-8400,-8320,-8379,0.1534104198217392,98,193,301,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\5mm-borosilicate-june2021\sphere1042g_crop.png
1042,v,sphere1042v.cine,-23635,-23435,-23597,0.27467599511146545,72,277,356,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\5mm-borosilicate-june2021\sphere1042v_crop.png
1052,g,sphere1052g.cine,-2580,-2500,-2559,0.15290625393390656,106,199,301,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\5mm-borosilicate-june2021\sphere1052g_crop.png
1052,v,sphere1052v.cine,-7235,-6985,-7196,0.2763710021972656,75,274,354,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\5mm-borosilicate-june2021\sphere1052v_crop.png
1062,g,sphere1062g.cine,-3085,-3005,-3064,0.15324999392032623,105,199,301,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\5mm-borosilicate-june2021\sphere1062g_crop.png
1062,v,sphere1062v.cine,-8655,-8465,-8617,0.2767601013183594,79,280,354,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\5mm-borosilicate-june2021\sphere1062v_crop.png
1072,g,sphere1072g.cine,-3420,-3330,-3400,0.15332292020320892,100,194,301,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\5mm-borosilicate-june2021\sphere1072g_crop.png
1072,v,sphere1072v.cine,-9605,-9365,-9564,0.2772254943847656,76,278,353,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\5mm-borosilicate-june2021\sphere1072v_crop.png
1082,g,sphere1082g.cine,-3000,-2900,-2978,0.15341457724571228,98,193,301,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\5mm-borosilicate-june2021\sphere1082g_crop.png
1082,v,sphere1082v.cine,-8410,-8210,-8375,0.2780418395996094,72,276,352,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\5mm-borosilicate-june2021\sphere1082v_crop.png
1092,g,sphere1092g.cine,-3340,-3260,-3319,0.15363749861717224,107,202,301,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\5mm-borosilicate-june2021\sphere1092g_crop.png
1092,v,sphere1092v.cine,-9375,-9255,-9337,0.2864748537540436,71,274,340,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\5mm-borosilicate-june2021\sphere1092v_crop.png
1102,g,sphere1102g.cine,-5925,-5860,-5903,0.15421457588672638,103,196,301,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\5mm-borosilicate-june2021\sphere1102g_crop.png
1102,v,sphere1102v.cine,-16660,-16460,-16621,0.2860107421875,73,272,340,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\5mm-borosilicate-june2021\sphere1102v_crop.png
1112,g,sphere1112g.cine,-3680,-3600,-3657,0.1540229171514511,103,198,301,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\5mm-borosilicate-june2021\sphere1112g_crop.png
1112,v,sphere1112v.cine,-10330,-10130,-10291,0.2871347963809967,63,267,339,C:\Users\justi\Downloads\coursework\testing_4mm\FULL\OUTPUT\5mm-borosilicate-june2021\sphere1112v_crop.png
