droplet_id,camera,cine_file,first_frame,last_frame,best_frame,dark_fraction,y_top,y_bottom,y_sphere,crop_size_px,crop_path,laplacian_var,tenengrad,tenengrad_var,brenner,norm_laplacian,energy_gradient
1014,g,sphere1014g.cine,-3200,-3100,-3175,0.24700625240802765,108,201,300,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-tmx\sphere1014g_crop.png,126.0988631879812,255784986.0,2689.591630739673,9469791.0,0.004324529742258427,6379707.0
1015,g,sphere1015g.cine,-2385,-2285,-2361,0.246952086687088,99,193,300,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-tmx\sphere1015g_crop.png,134.2442797652554,255972522.0,2693.7392063301386,9598150.0,0.004664067505618629,6552090.0
1016,g,sphere1016g.cine,-2310,-2180,-2286,0.24684375524520874,104,198,300,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-tmx\sphere1016g_crop.png,130.30320770659173,257789370.0,2712.089901977579,9631360.0,0.004482777242651982,6497476.0
1017,g,sphere1017g.cine,-2845,-2735,-2821,0.24667499959468842,103,195,300,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-tmx\sphere1017g_crop.png,134.5745067887836,255593140.0,2691.199357026691,9559826.0,0.004723859946439681,6553573.0
1018,g,sphere1018g.cine,-2350,-2230,-2328,0.2467104196548462,103,196,300,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-tmx\sphere1018g_crop.png,127.9874660393871,235011842.0,2465.3203668192464,8796404.0,0.004914575628293754,6093041.0
1019,g,sphere1019g.cine,-2550,-2440,-2528,0.24673333764076233,104,197,300,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-tmx\sphere1019g_crop.png,119.71342987306637,246045150.0,2581.58493617506,9055855.0,0.0041545982251741005,6097746.0
1020,g,sphere1020g.cine,-2600,-2480,-2578,0.24667082726955414,103,197,300,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-tmx\sphere1020g_crop.png,127.0867391378729,246171372.0,2585.520430083548,9186838.0,0.0045661006083975355,6255479.0
1021,g,sphere1021g.cine,-2650,-2540,-2628,0.246564581990242,108,201,300,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-tmx\sphere1021g_crop.png,121.32266921587991,243378598.0,2553.515506698378,8987431.0,0.004347083172402048,6086411.0
1022,g,sphere1022g.cine,-14170,-14020,-14144,0.247547909617424,102,195,297,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-tmx\sphere1022g_crop.png,136.8298268759859,248545666.0,2612.0533734463866,9468196.0,0.0049521745375161385,6489913.0
1023,g,sphere1023g.cine,-4890,-4740,-4867,0.24839374423027039,99,194,299,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-tmx\sphere1023g_crop.png,118.45351247220903,217288514.0,2270.7100167603276,8224046.0,0.004820541030298575,5615720.0
