droplet_id,camera,cine_file,first_frame,last_frame,best_frame,dark_fraction,y_top,y_bottom,y_sphere,crop_size_px,crop_path
0771,v,sphere0771v.cine,-8855,-8255,-8820,0.49457812309265137,86,293,377,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0771v_crop.png
0773,v,sphere0773v.cine,-11235,-10835,-11199,0.4953886866569519,80,293,377,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0773v_crop.png
0775,v,sphere0775v.cine,-6265,-5865,-6231,0.49541404843330383,82,294,377,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0775v_crop.png
0777,v,sphere0777v.cine,-6270,-5870,-6237,0.49488475918769836,86,296,377,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0777v_crop.png
0779,v,sphere0779v.cine,-6270,-5870,-6233,0.49549317359924316,87,297,377,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0779v_crop.png
0781,v,sphere0781v.cine,-6230,-5830,-6197,0.495242178440094,89,297,377,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0781v_crop.png
0783,v,sphere0783v.cine,-7555,-7155,-7520,0.4952675700187683,82,289,376,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0783v_crop.png
0785,v,sphere0785v.cine,-6640,-6240,-6605,0.49513280391693115,86,293,377,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0785v_crop.png
0787,v,sphere0787v.cine,-10140,-9740,-10105,0.4959648549556732,88,298,377,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0787v_crop.png
0789,v,sphere0789v.cine,-11055,-10655,-11019,0.49601268768310547,85,294,377,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0789v_crop.png
0791,v,sphere0791v.cine,-6740,-6340,-6705,0.496090829372406,82,294,377,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0791v_crop.png
0793,v,sphere0793v.cine,-5310,-4910,-5278,0.49607616662979126,86,298,377,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0793v_crop.png
0795,v,sphere0795v.cine,-6970,-6570,-6938,0.49598634243011475,78,291,377,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0795v_crop.png
0797,g,sphere0797g.cine,-2570,-2410,-2549,0.31674322485923767,155,245,406,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0797g_crop.png
0797,v,sphere0797v.cine,-8860,-8460,-8821,0.4875185489654541,86,294,380,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0797v_crop.png
0799,g,sphere0799g.cine,-2205,-2055,-2183,0.3166109621524811,161,252,406,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0799g_crop.png
0799,v,sphere0799v.cine,-7590,-7190,-7554,0.4874853491783142,82,291,381,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0799v_crop.png
0801,g,sphere0801g.cine,-3375,-3225,-3356,0.3178037106990814,152,243,407,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0801g_crop.png
0801,v,sphere0801v.cine,-11655,-11255,-11621,0.48732617497444153,83,291,381,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0801v_crop.png
0803,g,sphere0803g.cine,-4350,-4150,-4329,0.3191172182559967,148,237,398,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0803g_crop.png
0803,v,sphere0803v.cine,-15030,-14630,-15001,0.49251270294189453,74,279,360,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0803v_crop.png
0805,g,sphere0805g.cine,-2050,-1900,-2030,0.31756845116615295,158,248,407,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0805g_crop.png
0805,v,sphere0805v.cine,-7055,-6655,-7021,0.48738378286361694,90,296,381,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0805v_crop.png
0807,g,sphere0807g.cine,-3605,-3445,-3585,0.31829833984375,156,246,407,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0807g_crop.png
0807,v,sphere0807v.cine,-12455,-12055,-12420,0.4869365096092224,88,293,381,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0807v_crop.png
0809,g,sphere0809g.cine,-2495,-2345,-2473,0.318206787109375,150,242,407,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0809g_crop.png
0809,v,sphere0809v.cine,-8595,-8195,-8558,0.48768457770347595,85,294,381,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0809v_crop.png
0811,g,sphere0811g.cine,-2045,-1895,-2025,0.3179842531681061,151,242,407,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0811g_crop.png
0811,v,sphere0811v.cine,-7035,-6635,-7000,0.48750001192092896,89,297,381,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0811v_crop.png
0813,g,sphere0813g.cine,-2640,-2490,-2620,0.3171348571777344,151,241,406,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0813g_crop.png
0813,v,sphere0813v.cine,-9100,-8700,-9067,0.49940234422683716,88,300,379,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0813v_crop.png
