droplet_id,camera,cine_file,first_frame,last_frame,best_frame,dark_fraction,y_top,y_bottom,y_sphere,crop_size_px,crop_path,laplacian_var,tenengrad,tenengrad_var,brenner,norm_laplacian,energy_gradient
1202,g,sphere1202g.cine,-2675,-2575,-2647,0.01386875007301569,114,207,328,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\40mm\sphere1202g_crop.png,181.78739020118118,271902632.0,2875.6734723073164,10311417.0,0.00667980635912315,7663528.0
1202,v,sphere1202v.cine,-9640,-9410,-9583,0.051740143448114395,57,257,311,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\40mm\sphere1202v_crop.png,133.6795232056504,666709028.0,7094.640600011264,22006101.0,0.005623358988653588,13329522.0
1203,g,sphere1203g.cine,-1950,-1850,-1924,0.01418749988079071,120,216,329,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\40mm\sphere1203g_crop.png,170.0252741572596,281757730.0,2970.552172290913,10585234.0,0.005757610096564861,7573387.0
1203,v,sphere1203v.cine,-7015,-6785,-6958,0.05308452248573303,55,259,312,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\40mm\sphere1203v_crop.png,152.05172495977865,700877638.0,7472.912099235308,23609922.0,0.006616973030238654,14282858.0
1204,g,sphere1204g.cine,-1985,-1890,-1955,0.014100000262260437,120,214,329,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\40mm\sphere1204g_crop.png,189.29187182791395,270232584.0,2846.263563839489,10334204.0,0.00693162966280942,7697917.0
1204,v,sphere1204v.cine,-7125,-6885,-7073,0.05264924839138985,54,257,312,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\40mm\sphere1204v_crop.png,157.53733164099307,704501958.0,7514.682743958229,23665140.0,0.006788988452565391,14445295.0
1205,g,sphere1205g.cine,-3235,-3135,-3206,0.014233333058655262,120,215,329,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\40mm\sphere1205g_crop.png,173.29403096905762,276511644.0,2913.4704573768195,10373390.0,0.005995472625714685,7521471.0
1205,v,sphere1205v.cine,-11670,-11430,-11618,0.052935149520635605,55,258,312,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\40mm\sphere1205v_crop.png,144.3789232925218,686961588.0,7313.309365469831,22996167.0,0.006274677392554045,13889335.0
1206,g,sphere1206g.cine,-2205,-2095,-2180,0.014243749901652336,114,210,329,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\40mm\sphere1206g_crop.png,173.70637225251645,274629522.0,2900.1364417765108,10402213.0,0.0061541803619475964,7509682.0
1206,v,sphere1206v.cine,-7940,-7710,-7887,0.05323229357600212,54,259,312,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\40mm\sphere1206v_crop.png,138.3390920652086,676848474.0,7207.397122194827,22766718.0,0.00611763024253951,13608509.0
1207,g,sphere1207g.cine,-2160,-2050,-2134,0.014210416935384274,120,215,329,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\40mm\sphere1207g_crop.png,181.4642258191997,279844028.0,2950.5084788215477,10572477.0,0.006322914343195225,7729253.0
