droplet_id,camera,cine_file,first_frame,last_frame,best_frame,dark_fraction,y_top,y_bottom,y_sphere,crop_size_px,crop_path,laplacian_var,tenengrad,tenengrad_var,brenner,norm_laplacian,energy_gradient
1042,g,sphere1042g.cine,-8400,-8320,-8379,0.1534104198217392,98,193,301,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1042g_crop.png,123.90554414196457,240959792.0,2526.2461134277696,9313548.0,0.004472589165696445,6101533.0
1042,v,sphere1042v.cine,-23635,-23435,-23597,0.27467599511146545,72,277,356,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1042v_crop.png,78.43643853948491,468059412.0,4957.145388546365,15507182.0,0.004701496574042893,9027031.0
1043,g,sphere1043g.cine,-3875,-3785,-3854,0.15342916548252106,102,197,301,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1043g_crop.png,114.9741019624029,233146740.0,2436.7433994097833,8867420.0,0.004181781204319892,5788133.0
1043,v,sphere1043v.cine,-10885,-10695,-10846,0.2748146057128906,73,277,356,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1043v_crop.png,93.91470618373015,500936068.0,5331.740969053694,16559613.0,0.005587630337105242,9890024.0
1044,g,sphere1044g.cine,-2105,-2015,-2084,0.15325208008289337,105,200,302,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1044g_crop.png,122.11254256829268,239413938.0,2509.1130596893336,9243631.0,0.004449727660292876,6041911.0
1044,v,sphere1044v.cine,-5895,-5665,-5854,0.275634765625,78,283,355,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1044v_crop.png,92.9380461521974,468392910.0,4987.33491221101,15641157.0,0.0060196995084637155,9350262.0
1045,g,sphere1045g.cine,-2360,-2270,-2339,0.1532270759344101,99,194,302,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1045g_crop.png,129.10763970359085,256391000.0,2692.328394198834,9947247.0,0.004331155289612402,6450405.0
1045,v,sphere1045v.cine,-6610,-6480,-6573,0.2755063474178314,76,280,355,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1045v_crop.png,91.6199780439879,468458466.0,4979.13569124942,15634136.0,0.005810038494503882,9315258.0
1046,g,sphere1046g.cine,-2430,-2350,-2407,0.15333124995231628,102,197,302,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1046g_crop.png,122.17037991628632,247675070.0,2597.00341520054,9408423.0,0.004210215461767391,6172636.0
1046,v,sphere1046v.cine,-6805,-6605,-6765,0.2755241394042969,74,277,355,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1046v_crop.png,68.32595643575958,413888850.0,4367.710396950524,13498765.0,0.004445779518935822,7943795.0
1047,g,sphere1047g.cine,-2420,-2330,-2396,0.1532375067472458,107,202,301,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1047g_crop.png,114.99812541899999,224730628.0,2347.7852695337137,8617830.0,0.004435693091066842,5655196.0
1047,v,sphere1047v.cine,-6775,-6600,-6735,0.27569326758384705,75,279,355,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1047v_crop.png,80.19945597021064,442914848.0,4696.382704139872,14608138.0,0.005196468412641426,8667555.0
1048,g,sphere1048g.cine,-3485,-3400,-3465,0.15327291190624237,102,197,302,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1048g_crop.png,122.96692384744092,245816852.0,2577.547734442297,9383069.0,0.004294341877430245,6163032.0
1048,v,sphere1048v.cine,-9785,-9570,-9748,0.27567926049232483,78,281,355,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1048v_crop.png,90.86228217534322,464940340.0,4946.812344058917,15328515.0,0.005888890966687119,9252565.0
1049,g,sphere1049g.cine,-2340,-2270,-2319,0.15323957800865173,107,202,301,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1049g_crop.png,129.6616590948688,251461246.0,2641.860465500005,9702529.0,0.004564868580130263,6384496.0
1049,v,sphere1049v.cine,-6560,-6360,-6519,0.2753448486328125,77,280,355,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1049v_crop.png,64.94075165487696,410397322.0,4321.213278305054,13359173.0,0.004113228251683543,7810716.0
1050,g,sphere1050g.cine,-3195,-3130,-3173,0.1531125009059906,102,197,301,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1050g_crop.png,124.39257506425541,235233974.0,2466.2466004743414,9088539.0,0.004675458562563118,6020484.0
1050,v,sphere1050v.cine,-8965,-8780,-8926,0.2759005129337311,73,277,355,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1050v_crop.png,158.95830453420538,549762728.0,5910.570572907845,18716895.0,0.010305406085814737,12026973.0
1051,g,sphere1051g.cine,-2485,-2390,-2462,0.1527416706085205,105,198,301,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1051g_crop.png,130.38861177610255,255399628.0,2683.1152469950034,9729099.0,0.004420707403011314,6463184.0
1051,v,sphere1051v.cine,-6960,-6745,-6922,0.27534231543540955,77,276,354,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1051v_crop.png,81.08628267893525,443781314.0,4709.830239944446,14410217.0,0.0051701593298143006,8704259.0
1052,g,sphere1052g.cine,-2580,-2500,-2559,0.15290625393390656,106,199,301,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1052g_crop.png,129.74991819868308,266003314.0,2796.742955156235,9971285.0,0.004152083131379645,6617273.0
1052,v,sphere1052v.cine,-7235,-6985,-7196,0.2755368649959564,75,274,354,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1052v_crop.png,92.29565017224293,464496826.0,4942.2514740514325,15095812.0,0.005932479739135825,9279108.0
1053,g,sphere1053g.cine,-2505,-2420,-2482,0.1530124992132187,106,200,301,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1053g_crop.png,126.54617855034115,250914644.0,2631.961196948211,9565161.0,0.0043735129651672165,6309392.0
1053,v,sphere1053v.cine,-7015,-6800,-6977,0.2756296694278717,75,277,354,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1053v_crop.png,74.54704540906488,430207456.0,4549.481635641934,14006988.0,0.0047904933343830515,8342889.0
1054,g,sphere1054g.cine,-3075,-2995,-3054,0.1529979109764099,99,192,301,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1054g_crop.png,116.90976533966399,234136424.0,2448.608680359851,8780373.0,0.004211527118721771,5856216.0
1054,v,sphere1054v.cine,-8625,-8405,-8588,0.2760009765625,79,279,354,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1054v_crop.png,103.68546810746248,516311048.0,5520.348051437957,16781338.0,0.0061084518541550965,10345481.0
1055,g,sphere1055g.cine,-2460,-2385,-2436,0.15316666662693024,107,201,301,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1055g_crop.png,131.07807903346796,263840792.0,2776.0304509915172,10083606.0,0.004361446426474961,6621370.0
1055,v,sphere1055v.cine,-6885,-6705,-6849,0.27625784277915955,76,278,354,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1055v_crop.png,72.61972146250957,454325526.0,4813.009904012852,14728882.0,0.004320338237715583,8678891.0
1056,g,sphere1056g.cine,-4055,-3965,-4034,0.15310417115688324,106,200,301,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1056g_crop.png,127.12788665926195,265208994.0,2787.299887805489,10017483.0,0.004093363221973624,6555850.0
1056,v,sphere1056v.cine,-11390,-11180,-11353,0.27636590600013733,78,280,354,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1056v_crop.png,80.92784904805717,469159118.0,4987.0019963885425,15186102.0,0.004877973025920372,9100058.0
1057,g,sphere1057g.cine,-2495,-2425,-2475,0.15320833027362823,105,199,301,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1057g_crop.png,121.67438404966923,251442108.0,2635.5209800248535,9441246.0,0.004087127884424068,6220112.0
1057,v,sphere1057v.cine,-6995,-6815,-6956,0.27610650658607483,79,279,354,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1057v_crop.png,75.1220660891258,460202914.0,4881.3348331734705,14784007.0,0.004439084079197954,8827747.0
1058,g,sphere1058g.cine,-3895,-3830,-3872,0.15338124334812164,106,200,301,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1058g_crop.png,122.30891176938643,251464326.0,2640.1062330273,9560994.0,0.004142153744244099,6238103.0
1058,v,sphere1058v.cine,-10935,-10755,-10897,0.27666983008384705,72,275,354,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1058v_crop.png,147.47977651094925,564815288.0,6074.369521063887,19061069.0,0.008952433013535514,12028148.0
1059,g,sphere1059g.cine,-3255,-3145,-3234,0.1534208357334137,109,203,301,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1059g_crop.png,134.52400022979762,252879126.0,2658.324790564906,9781274.0,0.00477044824398673,6503954.0
1059,v,sphere1059v.cine,-9135,-8990,-9097,0.27665582299232483,77,280,354,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1059v_crop.png,84.29711380633705,485185734.0,5161.995238168185,15817902.0,0.004992303362425515,9430453.0
1060,g,sphere1060g.cine,-3070,-2985,-3046,0.15307499468326569,103,197,301,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1060g_crop.png,121.00119650401544,250796890.0,2629.483459118244,9456410.0,0.00402481772123484,6188521.0
1060,v,sphere1060v.cine,-8605,-8425,-8568,0.2766660153865814,74,277,354,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1060v_crop.png,99.43668417127198,504788020.0,5391.835728276477,16688967.0,0.006044637779538635,10076970.0
1061,g,sphere1061g.cine,-2890,-2780,-2870,0.15315000712871552,101,194,301,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1061g_crop.png,118.71639747596973,246911118.0,2587.1793285575627,9302680.0,0.00398310366111841,6083094.0
1061,v,sphere1061v.cine,-8110,-7905,-8070,0.27647271752357483,77,279,354,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1061v_crop.png,93.05815894867006,492386284.0,5249.611604572895,16166870.0,0.005551109955045671,9729784.0
1062,g,sphere1062g.cine,-3085,-3005,-3064,0.15324999392032623,105,199,301,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1062g_crop.png,122.43438032162608,244185124.0,2560.7194727070937,9223848.0,0.0042700810070029705,6127546.0
1062,v,sphere1062v.cine,-8655,-8465,-8617,0.2766876220703125,79,280,354,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1062v_crop.png,108.13182488515862,523428054.0,5601.8356363297025,17133273.0,0.0064553849979987355,10554465.0
1063,g,sphere1063g.cine,-2005,-1930,-1983,0.15336667001247406,107,201,301,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1063g_crop.png,132.5864408913967,262915228.0,2766.7687228222726,10089222.0,0.0043942309549345575,6628722.0
1063,v,sphere1063v.cine,-5610,-5420,-5570,0.27673467993736267,78,281,353,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1063v_crop.png,71.58436798311017,454958640.0,4817.5434461070245,14801048.0,0.004229649844215971,8663948.0
1064,g,sphere1064g.cine,-2200,-2110,-2179,0.15316666662693024,101,195,301,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1064g_crop.png,127.4583307293904,248061030.0,2606.230876284921,9541615.0,0.004472432694263902,6296036.0
1064,v,sphere1064v.cine,-6160,-5980,-6123,0.2769419252872467,71,274,353,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1064v_crop.png,104.54617862954325,512636336.0,5482.6633779431295,16984193.0,0.006366017106390769,10314209.0
1065,g,sphere1065g.cine,-3115,-3040,-3091,0.1532125025987625,102,196,301,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1065g_crop.png,122.57055568746411,235466468.0,2467.228404654567,8974443.0,0.004491569527809434,5986908.0
1065,v,sphere1065v.cine,-8730,-8540,-8693,0.27689871191978455,74,275,353,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1065v_crop.png,110.16450165366808,517923134.0,5541.834771102666,17127610.0,0.006681390846486709,10512874.0
1066,g,sphere1066g.cine,-1620,-1555,-1599,0.153243750333786,107,201,301,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1066g_crop.png,129.91906391700385,242400938.0,2545.726213362495,9317105.0,0.004772133282736638,6237080.0
1066,v,sphere1066v.cine,-4525,-4355,-4489,0.27696356177330017,73,275,353,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1066v_crop.png,134.529079870085,550927118.0,5918.372043485603,18417128.0,0.008080633636228258,11550672.0
1067,g,sphere1067g.cine,-2870,-2800,-2847,0.15337291359901428,102,197,301,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1067g_crop.png,138.17415750975852,292572916.0,3088.4516871924056,11147376.0,0.004010594884789852,7220129.0
1067,v,sphere1067v.cine,-8045,-7885,-8006,0.27745184302330017,79,282,353,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate-june2021\sphere1067v_crop.png,71.8480983612415,452131318.0,4786.583563568272,14691957.0,0.004286544574820639,8623902.0
