droplet_id,camera,cine_file,first_frame,last_frame,best_frame,dark_fraction,y_top,y_bottom,y_sphere,crop_size_px,crop_path
0223,v,sphere0223v.cine,-120,80,-86,0.2687588036060333,90,330,422,283,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate\sphere0223v_crop.png
0233,v,sphere0233v.cine,420,820,455,0.2694980502128601,94,330,423,283,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate\sphere0233v_crop.png
0243,v,sphere0243v.cine,1180,1380,1214,0.27231836318969727,91,331,418,283,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate\sphere0243v_crop.png
0253,v,sphere0253v.cine,850,1050,888,0.268679678440094,88,325,421,283,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate\sphere0253v_crop.png
0263,v,sphere0263v.cine,-710,-510,-674,0.2757236361503601,90,325,414,283,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate\sphere0263v_crop.png
0273,v,sphere0273v.cine,-820,-620,-780,0.2753369212150574,87,325,414,283,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate\sphere0273v_crop.png
0283,v,sphere0283v.cine,-710,-410,-676,0.27555760741233826,91,326,414,283,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate\sphere0283v_crop.png
0293,v,sphere0293v.cine,-1460,-1260,-1424,0.27515819668769836,88,324,415,283,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate\sphere0293v_crop.png
0303,v,sphere0303v.cine,1700,1900,1733,0.27486133575439453,90,324,414,283,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate\sphere0303v_crop.png
0313,v,sphere0313v.cine,380,580,409,0.27518847584724426,89,322,414,283,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate\sphere0313v_crop.png
0323,v,sphere0323v.cine,2020,2220,2050,0.27839159965515137,85,322,414,283,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\5mm-borosilicate\sphere0323v_crop.png
