droplet_id,camera,cine_file,first_frame,last_frame,best_frame,dark_fraction,y_top,y_bottom,y_sphere,crop_size_px,crop_path,laplacian_var,tenengrad,tenengrad_var,brenner,norm_laplacian,energy_gradient
1296,g,sphere1296g.cine,-1855,-1745,-1831,0.16772499680519104,102,208,311,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\6mm-borosilicate-22g\sphere1296g_crop.png,158.09611813036253,281547202.0,2972.5546218889262,10742893.0,0.006173099093350173,7385635.0
1296,v,sphere1296v.cine,-5020,-4690,-4975,0.33433350920677185,63,292,362,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\6mm-borosilicate-22g\sphere1296v_crop.png,137.5990785290006,649151232.0,6880.418504732999,21932627.0,0.009572478623639219,13149437.0
1297,g,sphere1297g.cine,-1945,-1835,-1918,0.1677541732788086,104,210,311,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\6mm-borosilicate-22g\sphere1297g_crop.png,153.67980517713573,287598308.0,3038.5672943809213,10859853.0,0.005782907326986988,7421856.0
1297,v,sphere1297v.cine,-5260,-4900,-5212,0.33403074741363525,67,297,362,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\6mm-borosilicate-22g\sphere1297v_crop.png,121.99276167723767,630620834.0,6661.524619631223,21278016.0,0.008331361285179192,12510886.0
1298,g,sphere1298g.cine,-2165,-2055,-2139,0.16746249794960022,103,208,311,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\6mm-borosilicate-22g\sphere1298g_crop.png,155.07490408322627,285850508.0,3020.017581794645,10802821.0,0.005833486211309773,7400029.0
1298,v,sphere1298v.cine,-5855,-5545,-5814,0.33381348848342896,64,291,362,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\6mm-borosilicate-22g\sphere1298v_crop.png,106.06789854678954,587539528.0,6173.004295842805,19888460.0,0.00726087001848128,11485912.0
1299,g,sphere1299g.cine,-1985,-1845,-1960,0.16775208711624146,105,211,311,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\6mm-borosilicate-22g\sphere1299g_crop.png,157.29728008425653,280000804.0,2950.7680290591434,10591744.0,0.00606031783576248,7313813.0
1299,v,sphere1299v.cine,-5370,-5030,-5327,0.3343518078327179,64,293,362,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\6mm-borosilicate-22g\sphere1299v_crop.png,127.2472133066935,636679666.0,6736.6775386724985,21453096.0,0.00884409358479401,12718961.0
1300,g,sphere1300g.cine,-1790,-1640,-1763,0.16764582693576813,99,203,311,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\6mm-borosilicate-22g\sphere1300g_crop.png,143.54689813326803,281065798.0,2969.679820815806,10453033.0,0.005456883590393088,7146906.0
1300,v,sphere1300v.cine,-4830,-4530,-4787,0.3340698182582855,66,293,362,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\6mm-borosilicate-22g\sphere1300v_crop.png,121.18030628052949,621950210.0,6560.4109799237685,20602837.0,0.008337660942524623,12354700.0
