crop_path,filename,folder,laplacian_var,tenengrad,tenengrad_var,brenner,norm_laplacian,energy_gradient
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0080v_crop.png,sphere0080v_crop.png,10mm-borosilicate-1,227.5769489774149,689749520.0,7387.883280161003,23337113.0,0.022074378248062985,15654655.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0081v_crop.png,sphere0081v_crop.png,10mm-borosilicate-1,223.66672519237758,680812200.0,7295.449100481335,22848606.0,0.022404686249475607,15433330.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0082v_crop.png,sphere0082v_crop.png,10mm-borosilicate-1,180.1106756506176,650301266.0,6942.276057410102,21476931.0,0.017873874816295376,14065043.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0083v_crop.png,sphere0083v_crop.png,10mm-borosilicate-1,211.74457653984905,677738644.0,7252.496515860761,22678690.0,0.02116349960305573,15141092.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0084v_crop.png,sphere0084v_crop.png,10mm-borosilicate-1,227.53203891082381,689092600.0,7378.737410818727,23201253.0,0.022636687877068736,15635810.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0085v_crop.png,sphere0085v_crop.png,10mm-borosilicate-1,229.26331241298084,692271844.0,7417.118778017658,23365350.0,0.02302864982938242,15726665.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0086v_crop.png,sphere0086v_crop.png,10mm-borosilicate-1,235.77742115742373,714519638.0,7653.657125079316,24573544.0,0.023173452592284705,16212948.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0087v_crop.png,sphere0087v_crop.png,10mm-borosilicate-1,228.70227766654966,702906638.0,7529.301970296492,24234178.0,0.022812254270495914,15884617.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0088v_crop.png,sphere0088v_crop.png,10mm-borosilicate-1,195.67379983630005,676054076.0,7220.567588056528,22997819.0,0.019225129690649274,14780852.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0089v_crop.png,sphere0089v_crop.png,10mm-borosilicate-1,228.95400742910238,705595298.0,7560.076144012127,24199671.0,0.0228452011545676,15941375.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0090v_crop.png,sphere0090v_crop.png,10mm-borosilicate-1,236.7916091833059,721890146.0,7738.727288176705,24821222.0,0.023234742911847326,16352261.0
