frame_idx,filename,z_mm,stage_mm,crop_h,crop_w,consensus_cx,consensus_cy,consensus_r,a_ok,a_cx,a_cy,a_r,a_sigma,a_conf,b_ok,b_cx,b_cy,b_r,b_sigma,b_conf,c_ok,c_cx,c_cy,c_r,c_sigma,c_conf,ab_diff,ac_diff,bc_diff
0,7_mm_1.cine,-8.0,0.0,860,860,628,468,359,True,430,430,358,11.745762750735825,0.9972359668427929,True,430,430,359,11.737270454328236,0.997241405441415,False,-1,-1,-1,nan,nan,0.00849229640758864,nan,nan
1,7_mm_10.cine,-6.2,1.8,860,860,628,468,359,True,430,430,358,10.74862018386055,0.9969463016640524,True,430,430,359,10.739686306292004,0.9969533041514711,False,-1,-1,-1,nan,nan,0.008933877568546578,nan,nan
2,7_mm_11.cine,-6.0,2.0,860,860,628,468,359,True,430,430,358,10.323634929070206,0.9969864258455181,True,430,430,359,10.301316282420135,0.9969926877584471,False,-1,-1,-1,nan,nan,0.02231864665007066,nan,nan
3,7_mm_12.cine,-5.8,2.2,860,860,628,468,359,True,430,430,358,9.906536479927489,0.9969809137923568,True,430,430,359,9.899049138349376,0.9969875925989622,True,599,744,8,2.4903222747888814,0.998200573523213,0.007487341578112705,7.4162142051386075,7.408726863560495
4,7_mm_13.cine,-5.6,2.4,860,860,628,468,359,True,430,430,358,9.611794953216172,0.9969703848109887,True,430,430,359,9.599577369260054,0.9969770600037126,True,625,730,13,2.4744780648379354,0.9982417395596145,0.012217583956118716,7.137316888378237,7.125099304422118
5,7_mm_14.cine,-5.4,2.6,860,860,628,468,359,True,430,430,358,9.212400222223724,0.9969400166964346,True,430,430,359,9.202661460279602,0.9969469369140739,True,654,708,16,2.4517718812352927,0.9982354098025567,0.009738761944122487,6.760628340988432,6.750889579044309
6,7_mm_15.cine,-5.2,2.8,860,860,628,468,359,True,430,430,358,8.862927458604869,0.9971598864817742,True,430,430,359,8.848960262584065,0.9971641861423599,True,605,742,13,2.471786762629744,0.9986231928839489,0.013967196020804096,6.391140695975125,6.377173499954321
7,7_mm_16.cine,-5.0,3.0,860,860,628,468,359,True,430,430,358,8.511158091653307,0.9967977332282292,True,430,430,359,8.501791551741354,0.9968030258616801,True,686,678,15,2.4615824742479795,0.9980645337362224,0.009366539911953353,6.049575617405328,6.040209077493374
8,7_mm_17.cine,-4.8,3.2,860,860,628,468,359,True,430,430,358,8.112498267365261,0.9969603164022087,True,430,430,359,8.092769651961046,0.9969650032599776,True,668,698,15,2.4735678184597445,0.9983332402899447,0.019728615404215333,5.6389304489055165,5.619201833501301
9,7_mm_18.cine,-4.6,3.4,860,860,628,468,359,True,430,430,358,7.870664704779093,0.9967552176908426,True,430,430,359,7.859057973735707,0.9967601373264233,True,693,674,15,2.4821531242374153,0.9979787650625567,0.011606731043386276,5.388511580541678,5.376904849498292
10,7_mm_19.cine,-4.4,3.6,860,860,628,468,359,True,430,430,358,7.411692593839639,0.9970107904752388,True,430,430,359,7.40205106164418,0.9970146810093353,True,630,726,25,2.464016100301897,0.9986163460665587,0.00964153219545949,4.947676493537742,4.938034961342282
11,7_mm_2.cine,-7.8,0.2,860,860,628,468,359,True,430,430,358,11.712378552090625,0.9972446589351558,True,430,430,359,11.704443650347834,0.9972511523765335,False,-1,-1,-1,nan,nan,0.007934901742791212,nan,nan
12,7_mm_20.cine,-4.2,3.8,860,860,628,468,359,True,430,430,358,7.105248519592045,0.9967239932625441,True,430,430,359,7.091375245329521,0.9967277775815789,True,617,735,23,2.478637558947578,0.9986637722506801,0.013873274262524049,4.626610960644467,4.612737686381943
13,7_mm_21.cine,-4.0,4.0,860,860,628,468,359,True,430,430,358,6.718233816337326,0.9967180984257378,True,430,430,359,6.711415291521512,0.9967216731440833,True,170,672,20,2.480654189092852,0.9985288283611197,0.006818524815813909,4.237579627244474,4.23076110242866
14,7_mm_22.cine,-3.8,4.2,860,860,628,468,359,True,430,430,358,6.330923112038261,0.9969146550307187,True,430,430,359,6.324792873035442,0.9969174633054324,True,196,698,36,2.498098298535176,0.9989080118410923,0.00613023900281906,3.832824813503085,3.826694574500266
15,7_mm_23.cine,-3.5999999999999996,4.4,860,860,628,468,359,True,430,430,358,5.999805558647246,0.9969767639381146,True,430,430,359,5.993588353305684,0.9969795215193736,True,110,530,115,nan,nan,0.006217205341561893,nan,nan
16,7_mm_24.cine,-3.4000000000000004,4.6,860,860,628,468,359,True,430,430,358,5.669761374267505,0.9967305661482188,True,430,430,359,5.664185147892091,0.9967327634136723,True,194,176,56,2.4916889464275123,0.9959635248817528,0.005576226375413995,3.178072427839993,3.172496201464579
17,7_mm_25.cine,-3.2,4.8,860,860,628,468,359,True,430,430,358,5.313274505127862,0.9969389377647376,True,430,430,359,5.308209208946506,0.9969406547339033,True,754,441,150,nan,nan,0.005065296181355983,nan,nan
18,7_mm_26.cine,-3.0,5.0,860,860,628,468,359,True,430,430,358,4.991673769244711,0.9966587967496731,True,430,430,359,4.9830888922127,0.9966621444257014,True,673,312,230,2.3695935958102274,0.9991242308810934,0.008584877032011384,2.6220801734344836,2.6134952964024722
19,7_mm_27.cine,-2.8,5.2,860,860,628,468,359,True,430,430,358,4.613337204792917,0.9969611133778056,True,430,430,359,4.609542127427026,0.9969602813844544,True,431,435,358,4.618403000999263,0.996968506115046,0.003795077365891686,0.0050657962063453965,0.008860873572237082
20,7_mm_28.cine,-2.5999999999999996,5.4,860,860,628,468,359,True,430,430,358,4.3066191072026445,0.9967051082998167,True,430,430,359,4.302178401460964,0.9967080984633664,True,431,435,359,4.300291260360854,0.996706350070742,0.004440705741680873,0.006327846841790219,0.0018871411001093463
21,7_mm_29.cine,-2.4000000000000004,5.6,860,860,628,468,359,True,430,430,358,3.96626353766473,0.9969528577527578,True,430,430,359,3.9592285245076093,0.9969522786881613,True,431,433,359,3.9595645590936805,0.9969493571510952,0.007035013157120851,0.006698978571049619,0.00033603458607123216
22,7_mm_3.cine,-7.6,0.4,860,860,628,468,359,True,430,430,358,11.760644799179545,0.9972597481242906,True,430,430,359,11.74609258733982,0.9972682138536586,False,-1,-1,-1,nan,nan,0.01455221183972455,nan,nan
23,7_mm_30.cine,-2.2,5.8,860,860,628,468,359,True,430,430,358,3.659336335641024,0.9966951039489802,True,430,430,359,3.6548937649430866,0.9966943037009486,True,431,434,359,3.6464148205423004,0.9966912958983654,0.004442570697937409,0.012921515098723635,0.008478944400786226
24,7_mm_31.cine,-2.0,6.0,860,860,628,468,359,True,430,430,358,3.2927542945415658,0.9969584055547978,True,430,430,359,3.288362707413042,0.9969554141936476,True,431,433,360,3.281951630081827,0.9969497056943685,0.004391587128523611,0.010802664459738764,0.006411077331215154
25,7_mm_32.cine,-1.7999999999999998,6.2,860,860,628,468,359,True,430,430,358,2.9887824899641995,0.99668361560869,True,430,430,359,2.983665263306265,0.9966830555216446,True,431,433,360,2.9825493410424295,0.9966765864796332,0.005117226657934459,0.00623314892176996,0.0011159222638355004
26,7_mm_33.cine,-1.5999999999999996,6.4,860,860,628,468,359,True,430,430,358,2.671891284438352,0.9967155682979383,True,430,430,359,2.6681709485743283,0.9967123109347931,True,430,433,360,2.6691398564296325,0.9967054753843964,0.0037203358640236495,0.0027514280087195253,0.0009689078553041242
27,7_mm_34.cine,-1.4000000000000004,6.6,860,860,628,468,359,True,430,430,358,2.4267690656686867,0.9966947450418387,True,430,430,359,2.422393872194936,0.9966938117604899,True,430,433,360,2.4208856546185817,0.9966864484024721,0.004375193473750816,0.005883411050104925,0.0015082175763541095
28,7_mm_35.cine,-1.2000000000000002,6.8,860,860,628,468,359,True,430,430,358,2.1579132616372085,0.9966082801742157,True,430,430,359,2.1548568144766342,0.9966054157217228,True,430,433,361,2.1457326929656193,0.9965947324044363,0.0030564471605742938,0.012180568671589231,0.009124121511014938
29,7_mm_36.cine,-1.0,7.0,860,860,628,468,359,True,430,430,358,1.8794935993011537,0.9965833036973457,True,430,430,359,1.877256110174033,0.9965785900244349,True,430,432,361,1.8690910725205807,0.9965670015791344,0.0022374891271206288,0.010402526780572963,0.008165037653452334
30,7_mm_37.cine,-0.7999999999999998,7.2,860,860,628,468,359,True,430,430,358,1.644938405484329,0.9966190301242219,True,430,430,359,1.6425142403853958,0.9966148944659577,True,430,416,364,1.6090288527676462,0.9969444024502226,0.002424165098933173,0.035909552716682835,0.03348538761774966
31,7_mm_38.cine,-0.5999999999999996,7.4,860,860,628,468,359,True,430,430,358,1.4447106014951145,0.9963391664004865,True,430,430,359,1.4431313293694763,0.9963392854126519,True,430,416,364,1.4407967441207215,0.9967118784386497,0.0015792721256382425,0.003913857374393093,0.00233458524875485
32,7_mm_39.cine,-0.40000000000000036,7.6,860,860,628,468,359,True,430,430,358,1.2818524103053384,0.9963264055550645,True,430,430,359,1.2805680394342374,0.996324973363831,True,430,416,364,1.266013861530302,0.9966654157449315,0.0012843708711010038,0.01583854877503632,0.014554177903935317
