filename,z_true_mm,z_pred_mm,z_error_mm,sigma_model_px,sigma_native_px,native_size
7_mm_1.cine,8.0,4.283791630732378,-3.7162083692676218,2.0115435123443604,6.757528986781836,860
7_mm_2.cine,7.8,4.30781812876671,-3.4921818712332895,2.0226166248321533,6.794727724045515,860
7_mm_3.cine,7.6,4.294917672701726,-3.3050823272982734,2.0166711807250977,6.774754747748375,860
7_mm_4.cine,7.4,4.321245218519556,-3.078754781480445,2.0288047790527344,6.8155160546302795,860
7_mm_5.cine,7.2,4.305657275216427,-2.8943427247835736,2.021620750427246,6.79138220846653,860
7_mm_6.cine,7.0,4.268057802655205,-2.731942197344795,2.0042922496795654,6.73316927626729,860
7_mm_7.cine,6.8,4.301644409286439,-2.498355590713561,2.0197713375091553,6.7851693369448185,860
7_mm_8.cine,6.6,4.137348925026325,-2.4626510749736745,1.9440523386001587,6.530800824984908,860
7_mm_9.cine,6.4,4.005913986119537,-2.3940860138804636,1.883477807044983,6.3273082580417395,860
7_mm_10.cine,6.2,3.855388317366891,-2.344611682633109,1.8141049146652222,6.094258697703481,860
7_mm_11.cine,6.0,3.7177413771596917,-2.2822586228403083,1.7506674528121948,5.881148474290967,860
7_mm_12.cine,5.8,14.538163280697539,8.738163280697538,6.737484455108643,22.633736841380596,860
7_mm_13.cine,5.6,14.517004815242277,8.917004815242278,6.727733135223389,22.60097850114107,860
7_mm_14.cine,5.4,14.575587381136772,9.175587381136772,6.754732131958008,22.691678255796432,860
7_mm_15.cine,5.2,14.484687716538359,9.284687716538357,6.712839126586914,22.550943940877914,860
7_mm_16.cine,5.0,14.624470161523048,9.624470161523048,6.777260780334473,22.76736043393612,860
7_mm_17.cine,4.8,14.613766771540911,9.813766771540912,6.772327899932861,22.750789038836956,860
7_mm_18.cine,4.6,14.623304117974486,10.023304117974487,6.776723384857178,22.76555512100458,860
7_mm_19.cine,4.4,14.41595632973185,10.01595632973185,6.6811628341674805,22.44453139603138,860
7_mm_20.cine,4.2,14.392848595380856,10.192848595380855,6.670513153076172,22.408755123615265,860
7_mm_21.cine,4.0,14.699720838834866,10.699720838834866,6.811941623687744,22.883866392076015,860
7_mm_22.cine,3.8,14.337914183481239,10.537914183481238,6.645195484161377,22.323703579604626,860
7_mm_23.cine,3.5999999999999996,12.132281250071964,8.532281250071964,5.628683567047119,18.908858858048916,860
7_mm_24.cine,3.4000000000000004,15.041735793176576,11.641735793176576,6.969566345214844,23.413386940956116,860
7_mm_25.cine,3.2,12.217046511654031,9.01704651165403,5.667749404907227,19.040095657110214,860
7_mm_26.cine,3.0,11.101696370107094,8.101696370107094,5.153717041015625,17.313268184661865,860
7_mm_27.cine,2.8,10.388155316671574,7.588155316671574,4.824866771697998,16.208536811172962,860
7_mm_28.cine,2.5999999999999996,1.1580629101080986,-1.441937089891901,0.570986270904541,1.9181570038199425,860
7_mm_29.cine,2.4000000000000004,1.1523538750189077,-1.2476461249810926,0.568355143070221,1.9093180587515235,860
7_mm_30.cine,2.2,1.1523824570535386,-1.0476175429464616,0.5683683156967163,1.9093623105436563,860
7_mm_31.cine,2.0,1.1455157848965598,-0.8544842151034402,0.5652036666870117,1.89873106777668,860
7_mm_32.cine,1.7999999999999998,1.1376883166523737,-0.6623116833476261,0.5615962147712708,1.8866122839972377,860
7_mm_33.cine,1.5999999999999996,1.1331830896099893,-0.4668169103900104,0.55951988697052,1.8796371202915907,860
7_mm_34.cine,1.4000000000000004,1.124932193395751,-0.27506780660424934,0.5557172894477844,1.8668627692386508,860
7_mm_35.cine,1.2000000000000002,1.1128267317510199,-0.0871732682489803,0.5501382350921631,1.8481206335127354,860
7_mm_36.cine,1.0,1.1023667417199028,0.10236674171990279,0.545317530632019,1.831926079466939,860
7_mm_37.cine,0.7999999999999998,1.0945154766686032,0.29451547666860334,0.5416991114616394,1.8197704525664449,860
7_mm_38.cine,0.5999999999999996,11.449487740714657,10.849487740714657,5.314003944396973,17.85173200070858,860
7_mm_39.cine,0.40000000000000036,11.44858139275677,11.04858139275677,5.313586235046387,17.850328758358955,860
7_mm_40.cine,0.20000000000000018,11.982511388606119,11.782511388606117,5.559659004211426,18.67697946727276,860
7_mm_41.cine,0.0,11.755207390989344,11.755207390989344,5.454901218414307,18.32505878061056,860
7_mm_42.cine,0.1999999999999993,1.0621007334572357,0.8621007334572364,0.5267601013183594,1.7695847153663635,860
7_mm_43.cine,0.40000000000000036,11.685090616151316,11.285090616151315,5.422586441040039,18.21650132536888,860
7_mm_44.cine,0.5999999999999996,11.645343740409048,11.045343740409049,5.404268264770508,18.154963701963425,860
7_mm_45.cine,0.8000000000000007,11.249248989936232,10.449248989936232,5.221719741821289,17.541714757680893,860
7_mm_46.cine,1.0,1.1088608127828925,0.1088608127828925,0.5483104586601257,1.8419804470613599,860
7_mm_47.cine,1.1999999999999993,1.1164981652311177,-0.08350183476888162,0.5518302917480469,1.853804886341095,860
7_mm_48.cine,1.4000000000000004,1.1278986464651115,-0.27210135353488885,0.5570844411849976,1.8714555446058512,860
7_mm_49.cine,1.5999999999999996,1.1373696463658103,-0.46263035363418936,0.5614493489265442,1.8861189065501094,860
7_mm_50.cine,1.8000000000000007,1.1380690655661896,-0.6619309344338111,0.5617716908454895,1.8872017739340663,860
7_mm_51.cine,2.0,10.097455590260653,8.097455590260653,4.690891742706299,15.758464448153973,860
7_mm_52.cine,2.1999999999999993,10.062707078656008,7.862707078656008,4.674877166748047,15.70466548204422,860
7_mm_53.cine,2.4000000000000004,9.870645117730538,7.4706451177305375,4.586361408233643,15.407307855784893,860
7_mm_54.cine,2.5999999999999996,10.112190987082846,7.512190987082846,4.697682857513428,15.781278349459171,860
7_mm_55.cine,2.8000000000000007,10.076116062142571,7.27611606214257,4.681056976318359,15.725425779819489,860
7_mm_56.cine,3.0,11.0857649250665,8.0857649250665,5.146374702453613,17.288602516055107,860
7_mm_57.cine,3.1999999999999993,10.045033293477191,6.845033293477192,4.666731834411621,15.67730225622654,860
7_mm_58.cine,3.4000000000000004,9.819814103092318,6.4198141030923175,4.562934875488281,15.328609347343445,860
7_mm_59.cine,3.5999999999999996,11.061020384243612,7.4610203842436125,5.134970664978027,17.25029207766056,860
7_mm_60.cine,3.8000000000000007,12.730054975475465,8.930054975475464,5.90418004989624,19.834354855120182,860
7_mm_61.cine,4.0,12.747553905854186,8.747553905854186,5.91224479675293,19.861447364091873,860
