filename,z_true_mm,z_pred_mm,z_error_mm,sigma_model_px,sigma_native_px,native_size
7_mm_1.cine,8.0,3.8615860923152225,-4.138413907684777,1.8169612884521484,6.103854328393936,860
7_mm_2.cine,7.8,3.888575551496133,-3.9114244485038667,1.8293999433517456,6.14564043469727,860
7_mm_3.cine,7.6,3.884135636342837,-3.7158643636571624,1.8273537158966064,6.138766389340162,860
7_mm_4.cine,7.4,3.8927937942179476,-3.5072062057820528,1.8313440084457397,6.152171278372407,860
7_mm_5.cine,7.2,3.8858184844632766,-3.3141815155367236,1.8281292915344238,6.141371838748455,860
7_mm_6.cine,7.0,3.875876592308772,-3.124123407691228,1.82354736328125,6.125979423522949,860
7_mm_7.cine,6.8,3.8752162309113727,-2.924783769088627,1.8232430219650269,6.124957026913762,860
7_mm_8.cine,6.6,3.7478132988446404,-2.852186701155359,1.7645267248153687,5.927706966176629,860
7_mm_9.cine,6.4,3.627408956017799,-2.7725910439822012,1.709035873413086,5.741292387247086,860
7_mm_10.cine,6.2,3.5018246690686214,-2.6981753309313787,1.6511577367782593,5.546858021989465,860
7_mm_11.cine,6.0,3.384418465277134,-2.615581534722866,1.5970486402511597,5.3650852758437395,860
7_mm_12.cine,5.8,3.2674742299367843,-2.5325257700632156,1.5431524515151978,5.1840277668088675,860
7_mm_13.cine,5.6,3.1553074622854163,-2.4446925377145834,1.4914580583572388,5.010366914793849,860
7_mm_14.cine,5.4,3.0336801705016985,-2.366319829498302,1.43540358543396,4.822058919817209,860
7_mm_15.cine,5.2,2.920368828160361,-2.279631171839639,1.3831816911697388,4.646625993773341,860
7_mm_16.cine,5.0,14.585037817492193,9.585037817492193,6.759087562561035,22.706309780478477,860
7_mm_17.cine,4.8,14.377146841261098,9.577146841261097,6.663276672363281,22.384445071220398,860
7_mm_18.cine,4.6,13.536062144203738,8.936062144203738,6.2756452560424805,21.082245782017708,860
7_mm_19.cine,4.4,14.25444636520875,9.85444636520875,6.606727600097656,22.194475531578064,860
7_mm_20.cine,4.2,14.535107977592924,10.335107977592923,6.736076354980469,22.629006505012512,860
7_mm_21.cine,4.0,14.301024993880166,10.301024993880166,6.628194332122803,22.26659033447504,860
7_mm_22.cine,3.8,14.360621510686453,10.560621510686452,6.655660629272461,22.358859926462173,860
7_mm_23.cine,3.5999999999999996,14.168192251216407,10.568192251216407,6.5669755935668945,22.060933634638786,860
7_mm_24.cine,3.4000000000000004,14.695379473502335,11.295379473502335,6.809940814971924,22.877144925296307,860
7_mm_25.cine,3.2,13.256947324281942,10.056947324281943,6.147009372711182,20.650109611451626,860
7_mm_26.cine,3.0,13.713332837542488,10.713332837542488,6.357344150543213,21.356703005731106,860
7_mm_27.cine,2.8,12.366325951964582,9.566325951964583,5.736547946929932,19.27121575921774,860
7_mm_28.cine,2.5999999999999996,1.160631930632569,-1.4393680693674307,0.5721702575683594,1.9221344590187073,860
7_mm_29.cine,2.4000000000000004,1.1535210825417301,-1.2464789174582702,0.5688930749893188,1.911125173792243,860
7_mm_30.cine,2.2,1.1483486395868536,-1.0516513604131466,0.5665092468261719,1.9031170010566711,860
7_mm_31.cine,2.0,1.1400948981021997,-0.8599051018978003,0.5627053380012512,1.8903382448479533,860
7_mm_32.cine,1.7999999999999998,1.132862608696798,-0.6671373913032019,0.5593721866607666,1.8791409395635128,860
7_mm_33.cine,1.5999999999999996,1.1299431025892972,-0.47005689741070245,0.5580266714096069,1.8746208492666483,860
7_mm_34.cine,1.4000000000000004,1.1255187070928148,-0.2744812929071856,0.5559875965118408,1.8677708320319653,860
7_mm_35.cine,1.2000000000000002,1.1174032198842712,-0.08259678011572902,0.5522474050521851,1.8552061263471842,860
7_mm_36.cine,1.0,1.1078493191500953,0.10784931915009532,0.5478442907333374,1.8404144141823053,860
7_mm_37.cine,0.7999999999999998,1.1005903876671643,0.3005903876671645,0.544498860836029,1.829175860621035,860
7_mm_38.cine,0.5999999999999996,1.0908026574370038,0.49080265743700413,0.5399879813194275,1.8140221247449517,860
7_mm_39.cine,0.40000000000000036,1.0796263059134865,0.6796263059134862,0.5348371267318726,1.7967184726148844,860
7_mm_40.cine,0.20000000000000018,1.0710304853265757,0.8710304853265756,0.530875563621521,1.783410096541047,860
7_mm_41.cine,0.0,12.515198777266626,12.515198777266626,5.805159091949463,19.501706324517727,860
7_mm_42.cine,0.1999999999999993,1.0656511136141908,0.8656511136141916,0.5283963680267334,1.7750815488398075,860
7_mm_43.cine,0.40000000000000036,12.618646601720366,12.218646601720366,5.852835178375244,19.661868177354336,860
7_mm_44.cine,0.5999999999999996,12.49924767399407,11.89924767399407,5.797807693481445,19.47701022028923,860
7_mm_45.cine,0.8000000000000007,12.266047241432087,11.466047241432086,5.690332412719727,19.11596044898033,860
7_mm_46.cine,1.0,1.099841305564983,0.09984130556498294,0.54415363073349,1.828016103245318,860
7_mm_47.cine,1.1999999999999993,1.111192511888595,-0.08880748811140426,0.5493850708007812,1.8455904722213745,860
7_mm_48.cine,1.4000000000000004,1.1209563159811686,-0.27904368401883173,0.5538849234580994,1.8607071647420526,860
7_mm_49.cine,1.5999999999999996,1.1305148726123884,-0.4694851273876113,0.5582901835441589,1.875506085343659,860
7_mm_50.cine,1.8000000000000007,1.1379112823885893,-0.6620887176114114,0.5616989731788635,1.8869574880227447,860
7_mm_51.cine,2.0,1.1428535171007372,-0.8571464828992628,0.5639767050743103,1.8946092436090112,860
7_mm_52.cine,2.1999999999999993,1.148251512401298,-1.0517484875987013,0.5664644837379456,1.9029666250571609,860
7_mm_53.cine,2.4000000000000004,1.151301383626029,-1.2486986163739713,0.5678700804710388,1.907688551582396,860
7_mm_54.cine,2.5999999999999996,1.1552059999497444,-1.4447940000502553,0.5696696043014526,1.9137338269501925,860
7_mm_55.cine,2.8000000000000007,1.161770685451234,-1.6382293145487667,0.5726950764656067,1.9238975225016475,860
7_mm_56.cine,3.0,1.1609815109022852,-1.8390184890977148,0.5723313689231873,1.9226756924763322,860
7_mm_57.cine,3.1999999999999993,1.1643620801476098,-2.0356379198523893,0.5738893747329712,1.927909618243575,860
7_mm_58.cine,3.4000000000000004,1.1700140804980126,-2.2299859195019875,0.5764942169189453,1.936660259962082,860
7_mm_59.cine,3.5999999999999996,10.888401449373658,7.288401449373659,5.055415630340576,16.983036883175373,860
7_mm_60.cine,3.8000000000000007,1.1705154947435508,-2.6294845052564497,0.5767253041267395,1.9374365685507655,860
7_mm_61.cine,4.0,1.1700722792110618,-2.8299277207889384,0.5765210390090942,1.936750365421176,860
