filename,z_true_mm,z_pred_mm,z_error_mm,sigma_model_px,sigma_native_px,native_size
7_mm_1.cine,8.0,4.273335520615464,-3.726664479384536,2.0067245960235596,6.741340439766645,860
7_mm_2.cine,7.8,4.30188444664515,-3.4981155533548502,2.0198819637298584,6.785540971904993,860
7_mm_3.cine,7.6,4.29611423824202,-3.3038857617579795,2.0172226428985596,6.776607315987349,860
7_mm_4.cine,7.4,4.4848560272532625,-2.915143972746738,2.10420823097229,7.068824525922537,860
7_mm_5.cine,7.2,4.474375603007341,-2.725624396992659,2.0993781089782715,7.052598334848881,860
7_mm_6.cine,7.0,4.440065263046721,-2.559934736953279,2.0835654735565186,6.9994777627289295,860
7_mm_7.cine,6.8,4.28336535749191,-2.51663464250809,2.0113470554351807,6.75686901435256,860
7_mm_8.cine,6.6,4.119256367774501,-2.480743632225499,1.9357140064239502,6.502789240330458,860
7_mm_9.cine,6.4,4.170966570971186,-2.2290334290288145,1.9595457315444946,6.582848941907287,860
7_mm_10.cine,6.2,4.027494068918223,-2.172505931081777,1.8934234380722046,6.360719362273812,860
7_mm_11.cine,6.0,3.729897407019539,-2.270102592980461,1.7562698125839233,5.8999689016491175,860
7_mm_12.cine,5.8,3.6001070344130506,-2.1998929655869492,1.6964532136917114,5.699022514745593,860
7_mm_13.cine,5.6,3.501120852632145,-2.0988791473678545,1.6508333683013916,5.545768346637487,860
7_mm_14.cine,5.4,3.369033829478257,-2.030966170521743,1.5899583101272583,5.341266198083758,860
7_mm_15.cine,5.2,3.2334745417733735,-1.9665254582266267,1.5274829864501953,5.131388157606125,860
7_mm_16.cine,5.0,3.167007990217798,-1.8329920097822021,1.4968504905700684,5.028482116758823,860
7_mm_17.cine,4.8,2.9346479470722473,-1.8653520529277525,1.3897625207901,4.6687334682792425,860
7_mm_18.cine,4.6,2.9389536171941093,-1.6610463828058903,1.3917468786239624,4.675399670377374,860
7_mm_19.cine,4.4,2.746378990271912,-1.6536210097280883,1.3029948472976685,4.377248315140605,860
7_mm_20.cine,4.2,2.692665458041596,-1.507334541958404,1.2782398462295532,4.294086983427405,860
7_mm_21.cine,4.0,2.5578128320436053,-1.4421871679563947,1.216090202331543,4.085303023457527,860
7_mm_22.cine,3.8,2.499933306602746,-1.300066693397254,1.1894152164459229,3.995691742748022,860
7_mm_23.cine,3.5999999999999996,2.2084824288020695,-1.3915175711979302,1.0550940036773682,3.5444564186036587,860
7_mm_24.cine,3.4000000000000004,2.1702626872902164,-1.229737312709784,1.0374796390533447,3.48528316244483,860
7_mm_25.cine,3.2,2.0064756011212066,-1.1935243988787936,0.9619949460029602,3.2317017717286944,860
7_mm_26.cine,3.0,1.9293086341843835,-1.0706913658156165,0.9264309406280518,3.1122289411723614,860
7_mm_27.cine,2.8,1.7246315202183442,-1.0753684797816556,0.8321012258529663,2.7953400555998087,860
7_mm_28.cine,2.5999999999999996,1.6075695941471615,-0.9924304058528381,0.7781507968902588,2.614100333303213,860
7_mm_29.cine,2.4000000000000004,1.4933401347748525,-0.9066598652251479,0.7255057692527771,2.437245943583548,860
7_mm_30.cine,2.2,1.3663506722317176,-0.8336493277682826,0.6669800281524658,2.24063603207469,860
7_mm_31.cine,2.0,1.2796432549299568,-0.7203567450700432,0.6270191073417664,2.1063923137262464,860
7_mm_32.cine,1.7999999999999998,1.2371932429622587,-0.5628067570377411,0.6074551343917847,2.0406695920974016,860
7_mm_33.cine,1.5999999999999996,1.107419424656371,-0.49258057534362854,0.547646164894104,1.8397488351911306,860
7_mm_34.cine,1.4000000000000004,1.0237525667852534,-0.37624743321474696,0.509086549282074,1.7102126264944673,860
7_mm_35.cine,1.2000000000000002,1.0099482200413759,-0.19005177995862432,0.5027245283126831,1.6888402123004198,860
7_mm_36.cine,1.0,0.9176085899516492,-0.08239141004835082,0.46016788482666016,1.5458764880895615,860
7_mm_37.cine,0.7999999999999998,0.8654334437029371,0.06543344370293724,0.4361218810081482,1.4650969440117478,860
7_mm_38.cine,0.5999999999999996,0.8395194967391781,0.2395194967391785,0.4241788983345032,1.4249759865924716,860
7_mm_39.cine,0.40000000000000036,0.8364769973514333,0.43647699735143297,0.4227766990661621,1.4202654734253883,860
7_mm_40.cine,0.20000000000000018,0.7576291869165093,0.5576291869165091,0.3864380419254303,1.2981902970932424,860
7_mm_41.cine,0.0,0.7759820864113744,0.7759820864113744,0.39489635825157166,1.3266049535013735,860
7_mm_42.cine,0.1999999999999993,0.786045419880442,0.5860454198804427,0.3995342552661896,1.3421853887848556,860
7_mm_43.cine,0.40000000000000036,0.8400813083158142,0.4400813083158138,0.42443782091140747,1.4258458046242595,860
7_mm_44.cine,0.5999999999999996,0.8706798636886227,0.27067986368862307,0.4385398030281067,1.473219650797546,860
7_mm_45.cine,0.8000000000000007,0.8864291467573717,0.08642914675737101,0.44579818844795227,1.4976032893173397,860
7_mm_46.cine,1.0,0.9101706004282364,-0.08982939957176361,0.4567399322986603,1.5343607100658119,860
7_mm_47.cine,1.1999999999999993,1.013614221641589,-0.1863857783584102,0.5044140815734863,1.6945160552859306,860
7_mm_48.cine,1.4000000000000004,1.066921914846241,-0.33307808515375936,0.5289820432662964,1.7770490515977144,860
7_mm_49.cine,1.5999999999999996,1.079230813325698,-0.5207691866743016,0.5346548557281494,1.796106155961752,860
7_mm_50.cine,1.8000000000000007,1.252202820388151,-0.5477971796118497,0.6143726110458374,2.06390799023211,860
7_mm_51.cine,2.0,1.3302476825787046,-0.6697523174212954,0.6503412127494812,2.1847400115802884,860
7_mm_52.cine,2.1999999999999993,1.4149552627696174,-0.7850447372303819,0.6893804669380188,2.315887506119907,860
7_mm_53.cine,2.4000000000000004,1.5217818458420533,-0.878218154157947,0.7386137247085571,2.481280481442809,860
7_mm_54.cine,2.5999999999999996,1.6221450091737057,-0.9778549908262939,0.7848681807518005,2.63666654471308,860
7_mm_55.cine,2.8000000000000007,1.750355351386142,-1.0496446486138586,0.8439565896987915,2.8351666685193777,860
7_mm_56.cine,3.0,1.7895779213890717,-1.2104220786109283,0.8620331287384033,2.8958925418555737,860
7_mm_57.cine,3.1999999999999993,1.9367836768884377,-1.2632163231115616,0.9298759698867798,3.123802086338401,860
7_mm_58.cine,3.4000000000000004,2.0938480357174107,-1.3061519642825896,1.0022623538970947,3.3669750951230526,860
7_mm_59.cine,3.5999999999999996,2.148939713472734,-1.4510602865272655,1.0276525020599365,3.4522701241075993,860
7_mm_60.cine,3.8000000000000007,2.259563568575928,-1.5404364314240726,1.078635811805725,3.6235421802848577,860
7_mm_61.cine,4.0,2.397923119691798,-1.6020768803082022,1.1424016952514648,3.8377556949853897,860
