filename,z_true_mm,z_pred_mm,z_error_mm,sigma_model_px,sigma_native_px,native_size
7_mm_1.cine,8.0,3.8615860923152225,-4.138413907684777,1.8169612884521484,6.103854328393936,860
7_mm_2.cine,7.8,3.888575551496133,-3.9114244485038667,1.8293999433517456,6.14564043469727,860
7_mm_3.cine,7.6,3.884135636342837,-3.7158643636571624,1.8273537158966064,6.138766389340162,860
7_mm_4.cine,7.4,3.8927937942179476,-3.5072062057820528,1.8313440084457397,6.152171278372407,860
7_mm_5.cine,7.2,3.8858184844632766,-3.3141815155367236,1.8281292915344238,6.141371838748455,860
7_mm_6.cine,7.0,3.875876592308772,-3.124123407691228,1.82354736328125,6.125979423522949,860
7_mm_7.cine,6.8,3.8752162309113727,-2.924783769088627,1.8232430219650269,6.124957026913762,860
7_mm_8.cine,6.6,3.7478132988446404,-2.852186701155359,1.7645267248153687,5.927706966176629,860
7_mm_9.cine,6.4,3.627408956017799,-2.7725910439822012,1.709035873413086,5.741292387247086,860
7_mm_10.cine,6.2,3.5018246690686214,-2.6981753309313787,1.6511577367782593,5.546858021989465,860
7_mm_11.cine,6.0,3.384418465277134,-2.615581534722866,1.5970486402511597,5.3650852758437395,860
7_mm_12.cine,5.8,3.2674742299367843,-2.5325257700632156,1.5431524515151978,5.1840277668088675,860
7_mm_13.cine,5.6,3.1553074622854163,-2.4446925377145834,1.4914580583572388,5.010366914793849,860
7_mm_14.cine,5.4,3.0336801705016985,-2.366319829498302,1.43540358543396,4.822058919817209,860
7_mm_15.cine,5.2,2.920368828160361,-2.279631171839639,1.3831816911697388,4.646625993773341,860
7_mm_16.cine,5.0,2.804739366413032,-2.195260633586968,1.3298914432525635,4.46760406717658,860
7_mm_17.cine,4.8,2.6821234724903165,-2.1178765275096834,1.2733813524246216,4.277765480801463,860
7_mm_18.cine,4.6,2.5866667193296684,-2.0133332806703312,1.2293881177902222,4.129975708201528,860
7_mm_19.cine,4.4,2.458585578260202,-1.9414144217397982,1.1703592538833618,3.9316756185144186,860
7_mm_20.cine,4.2,2.3685723447267666,-1.8314276552732336,1.1288747787475586,3.7923137098550797,860
7_mm_21.cine,4.0,2.2379294256393423,-1.7620705743606577,1.0686652660369873,3.5900473780930042,860
7_mm_22.cine,3.8,2.1227771933390183,-1.6772228066609816,1.0155949592590332,3.4117643162608147,860
7_mm_23.cine,3.5999999999999996,2.006455296236876,-1.5935447037631238,0.9619855880737305,3.2316703349351883,860
7_mm_24.cine,3.4000000000000004,1.9027220394282478,-1.4972779605717526,0.9141779541969299,3.0710665648803115,860
7_mm_25.cine,3.2,1.7817836910765603,-1.4182163089234399,0.8584409952163696,2.8838252183049917,860
7_mm_26.cine,3.0,1.693141877883514,-1.306858122116486,0.8175885677337646,2.7465865947306156,860
7_mm_27.cine,2.8,1.5634935101368657,-1.2365064898631342,0.7578374147415161,2.5458600651472807,860
7_mm_28.cine,2.5999999999999996,1.479961543949549,-1.1200384560504506,0.7193399667739868,2.416532700881362,860
7_mm_29.cine,2.4000000000000004,1.3591642951443879,-1.0408357048556125,0.6636680364608765,2.229509809985757,860
7_mm_30.cine,2.2,1.267739419493323,-0.9322605805066773,0.6215329766273499,2.0879623433575034,860
7_mm_31.cine,2.0,1.1640718625652038,-0.8359281374347962,0.5737556219100952,1.9274602923542261,860
7_mm_32.cine,1.7999999999999998,1.0920575510208204,-0.7079424489791795,0.5405663251876831,1.815964998677373,860
7_mm_33.cine,1.5999999999999996,1.022917867909653,-0.5770821320903468,0.5087018609046936,1.708920313976705,860
7_mm_34.cine,1.4000000000000004,0.9483878846610942,-0.4516121153389061,0.474353164434433,1.5935301617719233,860
7_mm_35.cine,1.2000000000000002,0.8916583657900895,-0.3083416342099107,0.44820818305015564,1.5056993649341166,860
7_mm_36.cine,1.0,0.8471392602430149,-0.1528607397569851,0.42769062519073486,1.436773194000125,860
7_mm_37.cine,0.7999999999999998,0.7979806179568856,-0.0020193820431142484,0.4050348401069641,1.3606639159843326,860
7_mm_38.cine,0.5999999999999996,0.7734999112998211,0.17349991129982145,0.39375239610671997,1.3227619556710124,860
7_mm_39.cine,0.40000000000000036,0.7493948450028716,0.3493948450028712,0.38264307379722595,1.285441576037556,860
7_mm_40.cine,0.20000000000000018,0.7356007800316328,0.5356007800316326,0.3762857913970947,1.264085080474615,860
7_mm_41.cine,0.0,0.7279856077596032,0.7279856077596032,0.37277618050575256,1.2522949813865125,860
7_mm_42.cine,0.1999999999999993,0.7295219244536317,0.5295219244536324,0.37348422408103943,1.2546735652722418,860
7_mm_43.cine,0.40000000000000036,0.7563032262375357,0.3563032262375353,0.3858269453048706,1.2961373943835497,860
7_mm_44.cine,0.5999999999999996,0.7738173529468868,0.17381735294688716,0.39389869570732117,1.323253430891782,860
7_mm_45.cine,0.8000000000000007,0.8321889808391963,0.032188980839195636,0.42080047726631165,1.4136266033165157,860
7_mm_46.cine,1.0,0.8470422623879328,-0.1529577376120672,0.4276459217071533,1.4366230182349682,860
7_mm_47.cine,1.1999999999999993,0.9079965551696608,-0.29200344483033847,0.45573797821998596,1.5309947705827653,860
7_mm_48.cine,1.4000000000000004,0.9540447995694878,-0.4459552004305125,0.47696027159690857,1.6022884123958647,860
7_mm_49.cine,1.5999999999999996,1.0360732343377939,-0.5639267656622058,0.5147647857666016,1.7292879521846771,860
7_mm_50.cine,1.8000000000000007,1.1049702934807824,-0.6950297065192184,0.5465174317359924,1.8359569972380996,860
7_mm_51.cine,2.0,1.1741627434251147,-0.8258372565748853,0.5784062147140503,1.9430833775550127,860
7_mm_52.cine,2.1999999999999993,1.2834400096388208,-0.9165599903611785,0.6287689208984375,2.1122705936431885,860
7_mm_53.cine,2.4000000000000004,1.3549786437018811,-1.0450213562981192,0.6617389917373657,2.223029425367713,860
7_mm_54.cine,2.5999999999999996,1.4253883520622581,-1.1746116479377415,0.6941887736320496,2.3320404114201665,860
7_mm_55.cine,2.8000000000000007,1.5358911538423095,-1.2641088461576913,0.7451162934303284,2.5031250482425094,860
7_mm_56.cine,3.0,1.6271202231565818,-1.3728797768434182,0.787161111831665,2.6443693600594997,860
7_mm_57.cine,3.1999999999999993,1.7001972432012458,-1.4998027567987535,0.8208401799201965,2.7575099794194102,860
7_mm_58.cine,3.4000000000000004,1.805378483990541,-1.5946215160094594,0.8693151473999023,2.920355573296547,860
7_mm_59.cine,3.5999999999999996,1.885190647100692,-1.7148093528993076,0.9060982465744019,3.0439237970858812,860
7_mm_60.cine,3.8000000000000007,1.9828632192628377,-1.817136780737163,0.951112687587738,3.1951441848650575,860
7_mm_61.cine,4.0,2.058540169815125,-1.9414598301848751,0.9859899878501892,3.3123101154342294,860
