filename,z_true_mm,z_pred_mm,z_error_mm,sigma_model_px,sigma_native_px,native_size
7_mm_1.cine,8.0,6.313030214090954,-1.6869697859090458,2.946760416030884,9.89927327260375,860
7_mm_2.cine,7.8,6.319653486296914,-1.4803465137030862,2.949812889099121,9.90952767431736,860
7_mm_3.cine,7.6,6.317956153163449,-1.282043846836551,2.949030637741089,9.90689979866147,860
7_mm_4.cine,7.4,6.339914398266482,-1.060085601733518,2.959150552749634,9.940896388143301,860
7_mm_5.cine,7.2,6.327116371936464,-0.8728836280635361,2.9532523155212402,9.921081997454166,860
7_mm_6.cine,7.0,6.352156303560696,-0.6478436964393044,2.964792490005493,9.959849771112204,860
7_mm_7.cine,6.8,6.32658922092671,-0.47341077907328977,2.9530093669891357,9.920265842229128,860
7_mm_8.cine,6.6,6.210659453820047,-0.3893405461799526,2.899580717086792,9.740778971463442,860
7_mm_9.cine,6.4,6.081237931723818,-0.3187620682761825,2.8399341106414795,9.54040365293622,860
7_mm_10.cine,6.2,5.933861718660454,-0.2661382813395461,2.772012710571289,9.312230199575424,860
7_mm_11.cine,6.0,5.781569912962472,-0.21843008703752798,2.7018258571624756,9.076446238905191,860
7_mm_12.cine,5.8,5.638650945335845,-0.1613490546641545,2.635958671569824,8.855173662304878,860
7_mm_13.cine,5.6,5.505334506701409,-0.09466549329859042,2.574517011642456,8.648768085986376,860
7_mm_14.cine,5.4,5.359901354671052,-0.040098645328948024,2.507491111755371,8.4236029535532,860
7_mm_15.cine,5.2,5.176224664321728,-0.02377533567827239,2.422839879989624,8.139227721840143,860
7_mm_16.cine,5.0,5.073946504669806,0.07394650466980579,2.3757028579711914,7.980876788496971,860
7_mm_17.cine,4.8,4.883118873782876,0.08311887378287608,2.2877559661865234,7.685430198907852,860
7_mm_18.cine,4.6,4.765596272565289,0.1655962725652893,2.233593225479126,7.503477241843939,860
7_mm_19.cine,4.4,4.565069373492033,0.16506937349203277,2.141176223754883,7.1930138766765594,860
7_mm_20.cine,4.2,4.4436109873066325,0.24361098730663233,2.0851995944976807,7.004967387765646,860
7_mm_21.cine,4.0,4.2863875519953245,0.2863875519953245,2.012739896774292,6.761548090726137,860
7_mm_22.cine,3.8,4.084807385546349,0.2848073855463493,1.919837474822998,6.449454016983509,860
7_mm_23.cine,3.5999999999999996,3.9084386429293914,0.3084386429293917,1.8385542631149292,6.176393227651715,860
7_mm_24.cine,3.4000000000000004,3.7737427654652125,0.3737427654652121,1.7764768600463867,5.96785195171833,860
7_mm_25.cine,3.2,3.5606405471372073,0.36064054713720717,1.6782642602920532,5.637918999418616,860
7_mm_26.cine,3.0,3.429117146186584,0.4291171461865839,1.617648959159851,5.434289472177625,860
7_mm_27.cine,2.8,3.206395327243894,0.40639532724389404,1.515002965927124,5.089463088661432,860
7_mm_28.cine,2.5999999999999996,3.0728222969501466,0.472822296950147,1.4534430503845215,4.882660247385502,860
7_mm_29.cine,2.4000000000000004,2.859982360822284,0.4599823608222837,1.3553513288497925,4.553133370354772,860
7_mm_30.cine,2.2,2.726037117425968,0.5260371174259677,1.2936198711395264,4.345754254609346,860
7_mm_31.cine,2.0,2.5324788029227645,0.5324788029227645,1.2044144868850708,4.046079916879535,860
7_mm_32.cine,1.7999999999999998,2.41779500559725,0.6177950055972503,1.1515600681304932,3.8685221038758755,860
7_mm_33.cine,1.5999999999999996,2.2781918126487533,0.6781918126487536,1.0872210264205933,3.6523831356316805,860
7_mm_34.cine,1.4000000000000004,2.155521082605298,0.7555210826052976,1.0306856632232666,3.4624596498906612,860
7_mm_35.cine,1.2000000000000002,2.050282936407688,0.8502829364076878,0.9821844696998596,3.299525952897966,860
7_mm_36.cine,1.0,1.9635446091227742,0.9635446091227742,0.9422093033790588,3.165234378539026,860
7_mm_37.cine,0.7999999999999998,1.8740565866419907,1.0740565866419909,0.9009668827056885,3.0266856215894222,860
