camera,filename,radius,config,margin_inner_px,margin_outer_px,inner_frac,outer_frac,raw_erf,raw_int_var,raw_bg_var,raw_int_max,flat_erf,flat_int_var,flat_bg_var,flat_int_max,erf_delta,erf_pct,int_var_reduction,bg_var_reduction
g,sphere1015g_crop.png,50,fixed_15px,15,15,0.3,0.3,0.4457987311540662,0.045635808259248734,0.006429219618439674,0.8078431487083435,8.945324804382087,0.0,0.0,0.0,8.49952607322802,1906.583729214478,1.0,1.0
g,sphere1015g_crop.png,50,fixed_25px,25,25,0.5,0.5,0.4457987311540662,0.045635808259248734,0.006429219618439674,0.8078431487083435,1.5035156894510306,0.00222629657946527,0.0018198093166574836,0.1720532923936844,1.0577169582969645,237.26333979434813,0.951216015134035,0.7169470908353979
g,sphere1015g_crop.png,50,fixed_35px,35,35,0.7,0.7,0.4457987311540662,0.045635808259248734,0.006429219618439674,0.8078431487083435,0.9927011411811013,0.01977032795548439,0.0066133118234574795,0.5941019654273987,0.5469024100270351,122.67922086974892,0.5667803702922769,-0.028633678104541538
g,sphere1015g_crop.png,50,prop_5pct,2,2,0.04,0.04,0.4457987311540662,0.045635808259248734,0.006429219618439674,0.8078431487083435,3.0075830027358825,0.0,0.0,0.0,2.5617842715818164,574.6504179027091,1.0,1.0
g,sphere1015g_crop.png,50,prop_8pct,4,4,0.08,0.08,0.4457987311540662,0.045635808259248734,0.006429219618439674,0.8078431487083435,3.828483475891411,0.0,0.0,0.0,3.382684744737345,758.7919184920926,1.0,1.0
g,sphere1015g_crop.png,50,prop_10pct,5,5,0.1,0.1,0.4457987311540662,0.045635808259248734,0.006429219618439674,0.8078431487083435,4.229630149045134,0.0,0.0,0.0,3.7838314178910677,848.7757262331443,1.0,1.0
g,sphere1015g_crop.png,50,prop_14pct,7,7,0.14,0.14,0.4457987311540662,0.045635808259248734,0.006429219618439674,0.8078431487083435,5.062807089641136,0.0,0.0,0.0,4.61700835848707,1035.6710407261007,1.0,1.0
g,sphere1015g_crop.png,50,prop_20pct,10,10,0.2,0.2,0.4457987311540662,0.045635808259248734,0.006429219618439674,0.8078431487083435,6.375503115510774,0.0,0.0,0.0,5.929704384356708,1330.1303861960585,1.0,1.0
g,sphere1015g_crop.png,50,prop_30pct,15,15,0.3,0.3,0.4457987311540662,0.045635808259248734,0.006429219618439674,0.8078431487083435,8.945324804382087,0.0,0.0,0.0,8.49952607322802,1906.583729214478,1.0,1.0
g,sphere1015g_crop.png,50,asym_in5_out14,2,7,0.04,0.14,0.4457987311540662,0.045635808259248734,0.006429219618439674,0.8078431487083435,5.027099805826607,0.0,0.0,0.0,4.581301074672541,1027.6613086835507,1.0,1.0
