camera,filename,config,det_source,flat_geom,radius,eccentricity,m_in,m_out,test_type,sigma_target,kernel_applied,native_sigma,measured,error_pct,int_var,int_max
v,sphere0086v_crop.png,Raw (no flattening),circle,none,106,0.9764860994287722,0,0,quadrature,2.0,1.8485713091154061,0.7634029834336213,1.9926463586659775,-0.3676820667011249,0.029946524649858475,0.9176470637321472
v,sphere0086v_crop.png,Raw (no flattening),circle,none,106,0.9764860994287722,0,0,quadrature,4.0,3.9264762682186998,0.7634029834336213,3.9533876463957296,-1.1653088401067602,0.029946524649858475,0.9176470637321472
v,sphere0086v_crop.png,Raw (no flattening),circle,none,106,0.9764860994287722,0,0,quadrature,6.0,5.951236500500098,0.7634029834336213,5.865321364765558,-2.2446439205740334,0.029946524649858475,0.9176470637321472
v,sphere0086v_crop.png,Raw (no flattening),circle,none,106,0.9764860994287722,0,0,quadrature,8.0,7.963492693842611,0.7634029834336213,7.719442695721455,-3.5069663034818177,0.029946524649858475,0.9176470637321472
v,sphere0086v_crop.png,Raw (no flattening),circle,none,106,0.9764860994287722,0,0,quadrature,10.0,9.970818215416658,0.7634029834336213,9.477864100858838,-5.22135899141162,0.029946524649858475,0.9176470637321472
v,sphere0086v_crop.png,Raw (no flattening),circle,none,106,0.9764860994287722,0,0,quadrature,12.0,11.975692710022441,0.7634029834336213,11.190097993717515,-6.749183385687374,0.029946524649858475,0.9176470637321472
v,sphere0086v_crop.png,Raw (no flattening),circle,none,106,0.9764860994287722,0,0,fixed_kernel,2.1407438228604923,2.0,0.7634029834336213,2.133341209972237,-0.3457962979598227,0.029946524649858475,0.9176470637321472
v,sphere0086v_crop.png,Raw (no flattening),circle,none,106,0.9764860994287722,0,0,fixed_kernel,4.072196473049324,4.0,0.7634029834336213,4.035723377061842,-0.8956614993620462,0.029946524649858475,0.9176470637321472
v,sphere0086v_crop.png,Raw (no flattening),circle,none,106,0.9764860994287722,0,0,fixed_kernel,6.048370368546833,6.0,0.7634029834336213,5.910783609119353,-2.274774047286673,0.029946524649858475,0.9176470637321472
v,sphere0086v_crop.png,Raw (no flattening),circle,none,106,0.9764860994287722,0,0,fixed_kernel,8.036341463322435,8.0,0.7634029834336213,7.752365895362435,-3.5336423826196754,0.029946524649858475,0.9176470637321472
v,sphere0086v_crop.png,Raw (no flattening),circle,none,106,0.9764860994287722,0,0,fixed_kernel,10.029096874350918,10.0,0.7634029834336213,9.502529894608424,-5.250392795478641,0.029946524649858475,0.9176470637321472
v,sphere0086v_crop.png,Raw (no flattening),circle,none,106,0.9764860994287722,0,0,fixed_kernel,12.024258152381599,12.0,0.7634029834336213,11.209258245517857,-6.777964149932341,0.029946524649858475,0.9176470637321472
v,sphere0086v_crop.png,CircDet+CircFlat 10% of radius,circle,circle,106,0.9764860994287722,10,10,quadrature,2.0,1.7660389192068116,0.9386727522661114,2.4821008208041286,24.10504104020643,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 10% of radius,circle,circle,106,0.9764860994287722,10,10,quadrature,4.0,3.888302131284703,0.9386727522661114,5.171092640699656,29.277316017491394,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 10% of radius,circle,circle,106,0.9764860994287722,10,10,quadrature,6.0,5.926119595836146,0.9386727522661114,7.298914714622221,21.648578577037014,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 10% of radius,circle,circle,106,0.9764860994287722,10,10,quadrature,8.0,7.9447399871961295,0.9386727522661114,9.184447151724816,14.805589396560205,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 10% of radius,circle,circle,106,0.9764860994287722,10,10,quadrature,10.0,9.955847199719026,0.9386727522661114,11.044251410302515,10.442514103025147,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 10% of radius,circle,circle,106,0.9764860994287722,10,10,quadrature,12.0,11.963230895713464,0.9386727522661114,12.938266704976936,7.818889208141133,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 10% of radius,circle,circle,106,0.9764860994287722,10,10,fixed_kernel,2.209322641862622,2.0,0.9386727522661114,2.7742638719200787,25.57078895372066,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 10% of radius,circle,circle,106,0.9764860994287722,10,10,fixed_kernel,4.108662377933582,4.0,0.9386727522661114,5.300285744265272,29.002708344485765,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 10% of radius,circle,circle,106,0.9764860994287722,10,10,fixed_kernel,6.07298168413563,6.0,0.9386727522661114,7.3695603201361815,21.349951365530814,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 10% of radius,circle,circle,106,0.9764860994287722,10,10,fixed_kernel,8.05488091382156,8.0,0.9386727522661114,9.235300870078563,14.654716424565542,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 10% of radius,circle,circle,106,0.9764860994287722,10,10,fixed_kernel,10.043958708390175,10.0,0.9386727522661114,11.085503517727993,10.369863512757858,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 10% of radius,circle,circle,106,0.9764860994287722,10,10,fixed_kernel,12.036656784001396,12.0,0.9386727522661114,12.973108576751384,7.779999127288231,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 14% of radius,circle,circle,106,0.9764860994287722,14,14,quadrature,2.0,1.78120254070358,0.909569958272101,0.0,-100.0,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 14% of radius,circle,circle,106,0.9764860994287722,14,14,quadrature,4.0,3.8952127658202302,0.909569958272101,4.8290197302814155,20.72549325703539,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 14% of radius,circle,circle,106,0.9764860994287722,14,14,quadrature,6.0,5.930656160241368,0.909569958272101,0.0,-100.0,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 14% of radius,circle,circle,106,0.9764860994287722,14,14,quadrature,8.0,7.948124463734126,0.909569958272101,9.295157163184083,16.189464539801037,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 14% of radius,circle,circle,106,0.9764860994287722,14,14,quadrature,10.0,9.958548212014083,0.909569958272101,11.242379336037162,12.423793360371622,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 14% of radius,circle,circle,106,0.9764860994287722,14,14,quadrature,12.0,11.965478782355886,0.909569958272101,13.172787589503997,9.77322991253331,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 14% of radius,circle,circle,106,0.9764860994287722,14,14,fixed_kernel,2.1971157249883566,2.0,0.909569958272101,2.5251882931173264,14.93196577666424,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 14% of radius,circle,circle,106,0.9764860994287722,14,14,fixed_kernel,4.102111347707557,4.0,0.909569958272101,4.959185925688015,20.89349862381063,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 14% of radius,circle,circle,106,0.9764860994287722,14,14,fixed_kernel,6.068551516547513,6.0,0.909569958272101,7.324663624063318,20.698713755509576,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 14% of radius,circle,circle,106,0.9764860994287722,14,14,fixed_kernel,8.051541312630217,8.0,0.909569958272101,9.345948129314742,16.07650965727552,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 14% of radius,circle,circle,106,0.9764860994287722,14,14,fixed_kernel,10.041280670760633,10.0,0.909569958272101,11.282136453279357,12.357545050324022,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 14% of radius,circle,circle,106,0.9764860994287722,14,14,fixed_kernel,12.034422192568744,12.0,0.909569958272101,13.205972416003824,9.734993543425063,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 20% of radius,circle,circle,106,0.9764860994287722,21,21,quadrature,2.0,1.813707815480261,0.8428902420041526,0.0,-100.0,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 20% of radius,circle,circle,106,0.9764860994287722,21,21,quadrature,4.0,3.9101836325080925,0.8428902420041526,4.363077229311388,9.076930732784705,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 20% of radius,circle,circle,106,0.9764860994287722,21,21,quadrature,6.0,5.940499645647173,0.8428902420041526,6.696561409373354,11.60935682288923,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 20% of radius,circle,circle,106,0.9764860994287722,21,21,quadrature,8.0,7.955472081525658,0.8428902420041526,8.926111597792014,11.576394972400173,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 20% of radius,circle,circle,106,0.9764860994287722,21,21,quadrature,10.0,9.964413481983481,0.8428902420041526,11.017167136207428,10.171671362074282,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 20% of radius,circle,circle,106,0.9764860994287722,21,21,quadrature,12.0,11.970360731403803,0.8428902420041526,13.019620263277211,8.496835527310095,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 20% of radius,circle,circle,106,0.9764860994287722,21,21,fixed_kernel,2.1703603295457228,2.0,0.8428902420041526,2.32808602141629,7.267258331411756,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 20% of radius,circle,circle,106,0.9764860994287722,21,21,fixed_kernel,4.087843436344624,4.0,0.8428902420041526,4.463001947919944,9.177418788592083,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 20% of radius,circle,circle,106,0.9764860994287722,21,21,fixed_kernel,6.058916071383216,6.0,0.8428902420041526,0.0,-100.0,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 20% of radius,circle,circle,106,0.9764860994287722,21,21,fixed_kernel,8.044281444608078,8.0,0.8428902420041526,8.973667027990707,11.553369804155446,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 20% of radius,circle,circle,106,0.9764860994287722,21,21,fixed_kernel,10.035460326266346,10.0,0.8428902420041526,11.053185709817926,10.141292481500159,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 20% of radius,circle,circle,106,0.9764860994287722,21,21,fixed_kernel,12.029566241559412,12.0,0.8428902420041526,13.048873881053655,8.473353228421221,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 14% min 10px,circle,circle,106,0.9764860994287722,14,14,quadrature,2.0,1.78120254070358,0.909569958272101,0.0,-100.0,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 14% min 10px,circle,circle,106,0.9764860994287722,14,14,quadrature,4.0,3.8952127658202302,0.909569958272101,4.8290197302814155,20.72549325703539,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 14% min 10px,circle,circle,106,0.9764860994287722,14,14,quadrature,6.0,5.930656160241368,0.909569958272101,0.0,-100.0,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 14% min 10px,circle,circle,106,0.9764860994287722,14,14,quadrature,8.0,7.948124463734126,0.909569958272101,9.295157163184083,16.189464539801037,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 14% min 10px,circle,circle,106,0.9764860994287722,14,14,quadrature,10.0,9.958548212014083,0.909569958272101,11.242379336037162,12.423793360371622,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 14% min 10px,circle,circle,106,0.9764860994287722,14,14,quadrature,12.0,11.965478782355886,0.909569958272101,13.172787589503997,9.77322991253331,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 14% min 10px,circle,circle,106,0.9764860994287722,14,14,fixed_kernel,2.1971157249883566,2.0,0.909569958272101,2.5251882931173264,14.93196577666424,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 14% min 10px,circle,circle,106,0.9764860994287722,14,14,fixed_kernel,4.102111347707557,4.0,0.909569958272101,4.959185925688015,20.89349862381063,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 14% min 10px,circle,circle,106,0.9764860994287722,14,14,fixed_kernel,6.068551516547513,6.0,0.909569958272101,7.324663624063318,20.698713755509576,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 14% min 10px,circle,circle,106,0.9764860994287722,14,14,fixed_kernel,8.051541312630217,8.0,0.909569958272101,9.345948129314742,16.07650965727552,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 14% min 10px,circle,circle,106,0.9764860994287722,14,14,fixed_kernel,10.041280670760633,10.0,0.909569958272101,11.282136453279357,12.357545050324022,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat 14% min 10px,circle,circle,106,0.9764860994287722,14,14,fixed_kernel,12.034422192568744,12.0,0.909569958272101,13.205972416003824,9.734993543425063,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat In8% Out14%,circle,circle,106,0.9764860994287722,8,14,quadrature,2.0,1.78120254070358,0.909569958272101,0.0,-100.0,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat In8% Out14%,circle,circle,106,0.9764860994287722,8,14,quadrature,4.0,3.8952127658202302,0.909569958272101,4.828931829367896,20.7232957341974,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat In8% Out14%,circle,circle,106,0.9764860994287722,8,14,quadrature,6.0,5.930656160241368,0.909569958272101,7.251051820802149,20.850863680035822,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat In8% Out14%,circle,circle,106,0.9764860994287722,8,14,quadrature,8.0,7.948124463734126,0.909569958272101,9.295157162791176,16.189464534889698,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat In8% Out14%,circle,circle,106,0.9764860994287722,8,14,quadrature,10.0,9.958548212014083,0.909569958272101,11.242379339974766,12.423793399747662,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat In8% Out14%,circle,circle,106,0.9764860994287722,8,14,quadrature,12.0,11.965478782355886,0.909569958272101,13.172787588497918,9.77322990414932,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat In8% Out14%,circle,circle,106,0.9764860994287722,8,14,fixed_kernel,2.1971157249883566,2.0,0.909569958272101,2.525188300363054,14.93196610644785,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat In8% Out14%,circle,circle,106,0.9764860994287722,8,14,fixed_kernel,4.102111347707557,4.0,0.909569958272101,4.959185926893722,20.893498653202993,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat In8% Out14%,circle,circle,106,0.9764860994287722,8,14,fixed_kernel,6.068551516547513,6.0,0.909569958272101,7.324663627533864,20.69871381269862,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat In8% Out14%,circle,circle,106,0.9764860994287722,8,14,fixed_kernel,8.051541312630217,8.0,0.909569958272101,9.345948132117275,16.076509692082933,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat In8% Out14%,circle,circle,106,0.9764860994287722,8,14,fixed_kernel,10.041280670760633,10.0,0.909569958272101,11.282136453737207,12.357545054883706,0.0,0.0
v,sphere0086v_crop.png,CircDet+CircFlat In8% Out14%,circle,circle,106,0.9764860994287722,8,14,fixed_kernel,12.034422192568744,12.0,0.909569958272101,13.20597241924229,9.734993570335083,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 10% of radius,contour,distmap,104,0.9764860994287722,10,10,quadrature,2.0,1.7602239698364404,0.9495322932966748,2.5025013184368894,25.12506592184447,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 10% of radius,contour,distmap,104,0.9764860994287722,10,10,quadrature,4.0,3.8856644765067863,0.9495322932966748,5.187266652104116,29.681666302602892,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 10% of radius,contour,distmap,104,0.9764860994287722,10,10,quadrature,6.0,5.924389287005603,0.9495322932966748,7.244225849828867,20.737097497147783,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 10% of radius,contour,distmap,104,0.9764860994287722,10,10,quadrature,8.0,7.943449403375511,0.9495322932966748,9.104177830044428,13.802222875555348,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 10% of radius,contour,distmap,104,0.9764860994287722,10,10,quadrature,10.0,9.954817347595423,0.9495322932966748,10.966177626671266,9.66177626671266,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 10% of radius,contour,distmap,104,0.9764860994287722,10,10,quadrature,12.0,11.962373862406523,0.9495322932966748,12.865072344179364,7.208936201494698,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 10% of radius,contour,distmap,104,0.9764860994287722,10,10,fixed_kernel,2.213958350108069,2.0,0.9495322932966748,2.805623446457979,26.72431016243052,0.0,0.0
