filename,z_true_mm,z_pred_mm,z_error_mm,sigma_model_px,sigma_native_px,native_size
7_mm_1.cine,8.0,4.29240555758557,-3.70759444241443,2.0155134201049805,6.770865395665169,860
7_mm_2.cine,7.8,4.315120644619192,-3.4848793553808077,2.025982141494751,6.806033756583929,860
7_mm_3.cine,7.6,4.304726095807637,-3.2952739041923627,2.0211915969848633,6.789940521121025,860
7_mm_4.cine,7.4,4.325639350685252,-3.074360649314748,2.030829906463623,6.822319217026234,860
7_mm_5.cine,7.2,4.315145993391987,-2.8848540066080135,2.025993824005127,6.806073002517223,860
7_mm_6.cine,7.0,4.281530934056596,-2.7184690659434043,2.0105016231536865,6.754028890281916,860
7_mm_7.cine,6.8,4.306561036564846,-2.493438963435154,2.0220372676849365,6.792781446129084,860
7_mm_8.cine,6.6,4.155280853830134,-2.4447191461698656,1.9523166418075562,6.558563718572259,860
7_mm_9.cine,6.4,4.025280189873827,-2.374719810126173,1.8924031257629395,6.357291750609875,860
7_mm_10.cine,6.2,3.8839897515687936,-2.3160102484312066,1.8272864818572998,6.1385405249893665,860
7_mm_11.cine,6.0,3.7481216226933287,-2.2518783773066713,1.7646688222885132,5.928184324875474,860
7_mm_12.cine,5.8,3.6228169482277344,-2.1771830517722655,1.706919550895691,5.734182866290212,860
7_mm_13.cine,5.6,3.510063020226936,-2.089936979773064,1.6549545526504517,5.559612950310111,860
7_mm_14.cine,5.4,3.3842314534125353,-2.015768546587465,1.5969624519348145,5.364795736968517,860
7_mm_15.cine,5.2,3.2859545199479907,-1.9140454800520095,1.5516694784164429,5.212639654055238,860
7_mm_16.cine,5.0,3.113652962059866,-1.886347037940134,1.4722607135772705,4.945875834673643,860
7_mm_17.cine,4.8,3.0037652560115093,-1.7962347439884905,1.4216166734695435,4.7757435124367476,860
7_mm_18.cine,4.6,2.870344577015478,-1.7296554229845218,1.3601269721984863,4.56917654722929,860
7_mm_19.cine,4.4,2.7520542701075343,-1.647945729892466,1.3056104183197021,4.386034999042749,860
7_mm_20.cine,4.2,2.6214048844964384,-1.5785951155035618,1.245397925376892,4.183758655562997,860
7_mm_21.cine,4.0,2.500248614297,-1.499751385703,1.1895605325698853,3.9961799141019583,860
7_mm_22.cine,3.8,2.3863832202074327,-1.4136167797925672,1.1370832920074463,3.819889184087515,860
7_mm_23.cine,3.5999999999999996,2.2537307642236524,-1.3462692357763473,1.075947642326355,3.6145116109400988,860
7_mm_24.cine,3.4000000000000004,2.1190853256441162,-1.2809146743558841,1.013893485069275,3.4060484264045954,860
7_mm_25.cine,3.2,2.0031485746918873,-1.1968514253081128,0.9604616165161133,3.226550742983818,860
7_mm_26.cine,3.0,1.883514912156292,-1.116485087843708,0.9053259491920471,3.0413293605670333,860
7_mm_27.cine,2.8,1.7613737904015854,-1.0386262095984145,0.8490346670150757,2.85222583450377,860
7_mm_28.cine,2.5999999999999996,1.6454543697327977,-0.954545630267202,0.795610785484314,2.6727549824863672,860
7_mm_29.cine,2.4000000000000004,1.523943087383758,-0.8760569126162423,0.7396097779273987,2.484626597724855,860
7_mm_30.cine,2.2,1.4099717716364413,-0.7900282283635589,0.6870837211608887,2.3081718757748604,860
7_mm_31.cine,2.0,1.3118043810829028,-0.6881956189170972,0.6418412327766418,2.156185391359031,860
7_mm_32.cine,1.7999999999999998,1.2149596532812652,-0.5850403467187346,0.5972083210945129,2.0062467036768794,860
7_mm_33.cine,1.5999999999999996,1.1379556427409803,-0.4620443572590194,0.5617194175720215,1.8870261684060097,860
