filename,z_true_mm,z_pred_mm,z_error_mm,sigma_model_px,sigma_native_px,native_size
7_mm_1.cine,8.0,4.283791630732378,-3.7162083692676218,2.0115435123443604,6.757528986781836,860
7_mm_2.cine,7.8,4.30781812876671,-3.4921818712332895,2.0226166248321533,6.794727724045515,860
7_mm_3.cine,7.6,4.294917672701726,-3.3050823272982734,2.0166711807250977,6.774754747748375,860
7_mm_4.cine,7.4,4.321245218519556,-3.078754781480445,2.0288047790527344,6.8155160546302795,860
7_mm_5.cine,7.2,4.305657275216427,-2.8943427247835736,2.021620750427246,6.79138220846653,860
7_mm_6.cine,7.0,4.268057802655205,-2.731942197344795,2.0042922496795654,6.73316927626729,860
7_mm_7.cine,6.8,4.301644409286439,-2.498355590713561,2.0197713375091553,6.7851693369448185,860
7_mm_8.cine,6.6,4.137348925026325,-2.4626510749736745,1.9440523386001587,6.530800824984908,860
7_mm_9.cine,6.4,4.005913986119537,-2.3940860138804636,1.883477807044983,6.3273082580417395,860
7_mm_10.cine,6.2,3.855388317366891,-2.344611682633109,1.8141049146652222,6.094258697703481,860
7_mm_11.cine,6.0,3.7177413771596917,-2.2822586228403083,1.7506674528121948,5.881148474290967,860
7_mm_12.cine,5.8,3.589439856963478,-2.210560143036522,1.6915370225906372,5.682507185265422,860
7_mm_13.cine,5.6,3.475295885034115,-2.1247041149658847,1.638931393623352,5.505785150453448,860
7_mm_14.cine,5.4,3.3477129249483504,-2.05228707505165,1.5801321268081665,5.308256363496184,860
7_mm_15.cine,5.2,3.2486954451928716,-1.9513045548071286,1.534497857093811,5.1549537386745214,860
7_mm_16.cine,5.0,3.07302638043724,-1.92697361956276,1.453537106513977,4.882976217195392,860
7_mm_17.cine,4.8,2.9600996669239215,-1.8399003330760784,1.4014924764633179,4.7081387881189585,860
7_mm_18.cine,4.6,2.8278491700516017,-1.772150829948398,1.3405420780181885,4.503383543342352,860
7_mm_19.cine,4.4,2.712774277374396,-1.6872257226256044,1.28750741481781,4.325220221653581,860
7_mm_20.cine,4.2,2.57897362544739,-1.6210263745526103,1.2258425951004028,4.118064967915416,860
7_mm_21.cine,4.0,2.4602710129901104,-1.5397289870098896,1.1711360216140747,3.934285072609782,860
7_mm_22.cine,3.8,2.347468456731297,-1.452531543268703,1.1191486120224,3.7596398685127497,860
7_mm_23.cine,3.5999999999999996,2.2153079738684935,-1.384692026131506,1.0582396984100342,3.5550239868462086,860
7_mm_24.cine,3.4000000000000004,2.079412038941238,-1.3205879610587625,0.9956092238426208,3.3446247363463044,860
7_mm_25.cine,3.2,1.9673187309987856,-1.2326812690012146,0.9439486861228943,3.171077617444098,860
7_mm_26.cine,3.0,1.8512491576503307,-1.1487508423496693,0.8904556035995483,2.9913742933422327,860
7_mm_27.cine,2.8,1.7279401817204345,-1.0720598182795653,0.8336260914802551,2.800462651066482,860
7_mm_28.cine,2.5999999999999996,1.61542719639166,-0.9845728036083397,0.7817721366882324,2.626265771687031,860
7_mm_29.cine,2.4000000000000004,1.4949854770579933,-0.905014522942007,0.7262640595436096,2.4397933250293136,860
7_mm_30.cine,2.2,1.3838944802847237,-0.8161055197152765,0.6750654578208923,2.26779802236706,860
7_mm_31.cine,2.0,1.288075472467962,-0.711924527532038,0.630905270576477,2.1194473933428526,860
7_mm_32.cine,1.7999999999999998,1.1913547725903562,-0.6086452274096437,0.5863295197486877,1.969700730405748,860
7_mm_33.cine,1.5999999999999996,1.116230839142511,-0.48376916085748856,0.5517070889472961,1.853391001932323,860
7_mm_34.cine,1.4000000000000004,1.0416190543694999,-0.3583809456305005,0.5173206925392151,1.7378742014989257,860
7_mm_35.cine,1.2000000000000002,0.9820472396836399,-0.21795276031636024,0.489865779876709,1.6456428542733192,860
7_mm_36.cine,1.0,0.9340307794737217,-0.0659692205262783,0.4677363932132721,1.571301945950836,860
7_mm_37.cine,0.7999999999999998,0.8816521963902838,0.08165219639028398,0.44359663128852844,1.4902074332349002,860
7_mm_38.cine,0.5999999999999996,0.8452834326143457,0.24528343261434604,0.4268353283405304,1.4338999311439693,860
7_mm_39.cine,0.40000000000000036,0.8180806428174913,0.4180806428174909,0.4142983555793762,1.391783538274467,860
7_mm_40.cine,0.20000000000000018,0.8080268151382218,0.6080268151382217,0.4096648395061493,1.3762178202159703,860
7_mm_41.cine,0.0,0.8094308914231549,0.8094308914231549,0.4103119373321533,1.3783916644752026,860
7_mm_42.cine,0.1999999999999993,0.8141613474850401,0.6141613474850408,0.4124920666217804,1.3857155363075435,860
7_mm_43.cine,0.40000000000000036,0.843281461550686,0.4432814615506856,0.42591267824172974,1.4308004034683108,860
7_mm_44.cine,0.5999999999999996,0.8687814863341908,0.2687814863341912,0.4376648962497711,1.4702805108390749,860
7_mm_45.cine,0.8000000000000007,0.9097174911145292,0.10971749111452844,0.4565311074256897,1.5336591890081763,860
7_mm_46.cine,1.0,0.9575028377684048,-0.042497162231595165,0.47855398058891296,1.6076422785408795,860
7_mm_47.cine,1.1999999999999993,1.0172513825462246,-0.1827486174537747,0.5060903429985046,1.7001472460106015,860
7_mm_48.cine,1.4000000000000004,1.092398466148816,-0.3076015338511844,0.540723443031311,1.8164928164333105,860
7_mm_49.cine,1.5999999999999996,1.1605327341594383,-0.4394672658405614,0.5721245408058167,1.9219808792695403,860
7_mm_50.cine,1.8000000000000007,1.2424331964242723,-0.5575668035757284,0.6098700761795044,2.0487822871655226,860
7_mm_51.cine,2.0,1.3257269358795072,-0.6742730641204928,0.6482577323913574,2.1777408197522163,860
7_mm_52.cine,2.1999999999999993,1.3982087770853868,-0.8017912229146125,0.6816624999046326,2.289959960617125,860
7_mm_53.cine,2.4000000000000004,1.5032738791095301,-0.8967261208904702,0.7300839424133301,2.4526257440447807,860
7_mm_54.cine,2.5999999999999996,1.608690113369071,-0.9913098866309287,0.7786672115325928,2.615835163742304,860
7_mm_55.cine,2.8000000000000007,1.7238824381161628,-1.076117561883838,0.8317559957504272,2.7941802982240915,860
7_mm_56.cine,3.0,1.8087678477080595,-1.1912321522919405,0.870877206325531,2.9256031149998307,860
7_mm_57.cine,3.1999999999999993,1.904292758028212,-1.2957072419717872,0.914901852607727,3.073498411104083,860
7_mm_58.cine,3.4000000000000004,2.0021617831795178,-1.3978382168204826,0.960006833076477,3.22502295486629,860
7_mm_59.cine,3.5999999999999996,2.1169474929181047,-1.483052507081895,1.0129082202911377,3.4027385525405407,860
7_mm_60.cine,3.8000000000000007,2.227452363985731,-1.5725476360142698,1.063836693763733,3.5738263931125402,860
7_mm_61.cine,4.0,2.314417536921064,-1.6855824630789362,1.1039164066314697,3.7084691785275936,860
