filename,z_true_mm,z_pred_mm,z_error_mm,sigma_model_px,sigma_native_px,native_size
7_mm_1.cine,8.0,5.745030950283483,-2.254969049716517,2.684986114501953,9.019875228404999,860
7_mm_2.cine,7.8,5.749855494264798,-2.0501445057352017,2.6872096061706543,9.027344770729542,860
7_mm_3.cine,7.6,5.748334567897109,-1.851665432102891,2.6865086555480957,9.024990014731884,860
7_mm_4.cine,7.4,5.765737793725483,-1.6342622062745171,2.6945292949676514,9.051934350281954,860
7_mm_5.cine,7.2,5.7563039116706625,-1.4436960883293377,2.6901814937591553,9.037328455597162,860
7_mm_6.cine,7.0,5.769913098730115,-1.2300869012698854,2.69645357131958,9.058398716151714,860
7_mm_7.cine,6.8,5.755653120728297,-1.0443468792717026,2.6898815631866455,9.036320876330137,860
7_mm_8.cine,6.6,5.654538935337362,-0.9454610646626378,2.6432809829711914,8.879772052168846,860
7_mm_9.cine,6.4,5.546278465305864,-0.8537215346941363,2.5933868885040283,8.71215907856822,860
7_mm_10.cine,6.2,5.423080325591709,-0.7769196744082913,2.5366084575653076,8.521419037133455,860
7_mm_11.cine,6.0,5.295442012063311,-0.7045579879366892,2.477783679962158,8.323804549872875,860
7_mm_12.cine,5.8,5.173655126475364,-0.6263448735246362,2.4216556549072266,8.135249465703964,860
7_mm_13.cine,5.6,5.061180552297201,-0.5388194477027985,2.369819402694702,7.961112055927515,860
7_mm_14.cine,5.4,4.935768274877703,-0.46423172512229716,2.3120205402374268,7.7669440023601055,860
7_mm_15.cine,5.2,4.781971062468845,-0.41802893753115544,2.2411398887634277,7.52882931381464,860
7_mm_16.cine,5.0,4.685208071526423,-0.31479192847357673,2.196544647216797,7.379017174243927,860
7_mm_17.cine,4.8,4.525613232654066,-0.27438676734593415,2.1229920387268066,7.131926380097866,860
7_mm_18.cine,4.6,4.416099808995853,-0.18390019100414623,2.0725204944610596,6.962373536080122,860
7_mm_19.cine,4.4,4.248256531188253,-0.15174346881174738,1.9951664209365845,6.7025121953338385,860
7_mm_20.cine,4.2,4.135064948865323,-0.06493505113467712,1.9429997205734253,6.527264686301351,860
7_mm_21.cine,4.0,3.996882839159017,-0.003117160840982791,1.8793156147003174,6.313325893133879,860
7_mm_22.cine,3.8,3.822376972681531,0.02237697268153127,1.7988909482955933,6.043149279430509,860
7_mm_23.cine,3.5999999999999996,3.665758545324989,0.06575854532498937,1.7267100811004639,5.800666678696871,860
7_mm_24.cine,3.4000000000000004,3.541639313978973,0.14163931397897267,1.6695071458816528,5.6085005681961775,860
7_mm_25.cine,3.2,3.3534777014715953,0.15347770147159512,1.5827889442443848,5.31718160957098,860
7_mm_26.cine,3.0,3.230536929399591,0.23053692939959092,1.526129126548767,5.126840034499764,860
7_mm_27.cine,2.8,3.033287005862432,0.23328700586243212,1.4352223873138428,4.821450207382441,860
7_mm_28.cine,2.5999999999999996,2.908701667490128,0.3087016674901282,1.3778046369552612,4.628562452271581,860
7_mm_29.cine,2.4000000000000004,2.718324106650779,0.3183241066507785,1.2900651693344116,4.333812678232789,860
7_mm_30.cine,2.2,2.5936751376855405,0.3936751376855403,1.2326180934906006,4.140826407819986,860
7_mm_31.cine,2.0,2.4185283093816716,0.4185283093816716,1.1518980264663696,3.8696574326604605,860
7_mm_32.cine,1.7999999999999998,2.310129197082643,0.5101291970826431,1.1019400358200073,3.701829807832837,860
7_mm_33.cine,1.5999999999999996,2.1823739688062527,0.582373968806253,1.043061375617981,3.5040343087166548,860
7_mm_34.cine,1.4000000000000004,2.070126240278509,0.6701262402785089,0.9913296699523926,3.330248109996319,860
7_mm_35.cine,1.2000000000000002,1.9711083725316103,0.7711083725316101,0.9456952214241028,3.1769448844715953,860
7_mm_36.cine,1.0,1.8879581899018971,0.8879581899018971,0.9073737263679504,3.0482086120173335,860
7_mm_37.cine,0.7999999999999998,1.8038221210731287,1.0038221210731288,0.8685978651046753,2.9179459530860186,860
7_mm_38.cine,0.5999999999999996,1.763374403495274,1.1633744034952744,0.8499566912651062,2.855323259718716,860
7_mm_39.cine,0.40000000000000036,1.7196773871026394,1.319677387102639,0.8298180103302002,2.7876698784530163,860
7_mm_40.cine,0.20000000000000018,1.6990705161166109,1.4990705161166107,0.8203209042549133,2.7557655377313495,860
7_mm_41.cine,0.0,1.6728985548583333,1.6728985548583333,0.8082590103149414,2.7152451127767563,860
7_mm_42.cine,0.1999999999999993,1.6887474870568702,1.4887474870568709,0.8155633211135864,2.7397830318659544,860
7_mm_43.cine,0.40000000000000036,1.7602139547157494,1.360213954715749,0.84850013256073,2.8504301328212023,860
7_mm_44.cine,0.5999999999999996,1.7812567987277539,1.1812567987277542,0.8581981658935547,2.8830094635486603,860
7_mm_45.cine,0.8000000000000007,1.9064898241110606,1.10648982411106,0.9159144163131714,3.07689999230206,860
7_mm_46.cine,1.0,1.9357659753929153,0.9357659753929153,0.9294069409370422,3.1222264422103763,860
7_mm_47.cine,1.1999999999999993,2.0632948753407807,0.8632948753407814,0.9881812930107117,3.3196715312078595,860
7_mm_48.cine,1.4000000000000004,2.116969996420484,0.7169699964204836,1.0129185914993286,3.402773393318057,860
7_mm_49.cine,1.5999999999999996,2.2882100097825893,0.6882100097825896,1.0918381214141846,3.6678936891257763,860
7_mm_50.cine,1.8000000000000007,2.378639170118617,0.5786391701186164,1.1335142850875854,3.8078995514661074,860
7_mm_51.cine,2.0,2.499329850613661,0.4993298506136612,1.1891371011734009,3.9947574492543936,860
7_mm_52.cine,2.1999999999999993,2.6708670654037383,0.470867065403739,1.2681936025619507,4.260337883606553,860
7_mm_53.cine,2.4000000000000004,2.7869522877394797,0.3869522877394793,1.3216938972473145,4.440065436065197,860
7_mm_54.cine,2.5999999999999996,2.892940938674479,0.29294093867447923,1.370540976524353,4.6041610930114985,860
7_mm_55.cine,2.8000000000000007,3.0440721327037847,0.24407213270378403,1.4401929378509521,4.838148150593042,860
7_mm_56.cine,3.0,3.200755225297048,0.20075522529704815,1.5124036073684692,5.080730868503451,860
7_mm_57.cine,3.1999999999999993,3.2880509669225004,0.08805096692250114,1.552635669708252,5.215885452926159,860
7_mm_58.cine,3.4000000000000004,3.4511617840458775,0.05116178404587712,1.627808690071106,5.468419818207622,860
7_mm_59.cine,3.5999999999999996,3.5589703734031657,-0.04102962659683396,1.6774945259094238,5.635333172976971,860
7_mm_60.cine,3.8000000000000007,3.6856749209133057,-0.11432507908669498,1.735888957977295,5.831501968204975,860
7_mm_61.cine,4.0,3.791123746452154,-0.2088762535478459,1.784487247467041,5.994761846959591,860
