camera,filename,config,radius,m_in,m_out,margin_as_pct_of_R,test_type,sigma_target,kernel_applied,native_sigma,measured,error_pct,int_var,int_max
g,sphere1015g_crop.png,Raw (no flattening),41,0,0,0.0,quadrature,2.0,1.9433166072596049,0.47277961456583406,1.2995917408294768,-35.02041295852616,0.0445101372897625,0.8039215803146362
g,sphere1015g_crop.png,Raw (no flattening),41,0,0,0.0,quadrature,4.0,3.9719616609492823,0.47277961456583406,2.411727686210032,-39.70680784474921,0.0445101372897625,0.8039215803146362
g,sphere1015g_crop.png,Raw (no flattening),41,0,0,0.0,quadrature,6.0,5.981344283357294,0.47277961456583406,3.686120949798485,-38.56465083669192,0.0445101372897625,0.8039215803146362
g,sphere1015g_crop.png,Raw (no flattening),41,0,0,0.0,quadrature,8.0,7.986017745788635,0.47277961456583406,4.977084544448962,-37.78644319438798,0.0445101372897625,0.8039215803146362
g,sphere1015g_crop.png,Raw (no flattening),41,0,0,0.0,quadrature,10.0,9.988817719632838,0.47277961456583406,6.458719323744359,-35.412806762556414,0.0445101372897625,0.8039215803146362
g,sphere1015g_crop.png,Raw (no flattening),41,0,0,0.0,quadrature,12.0,11.990683026252132,0.47277961456583406,8.181137409244094,-31.823854922965882,0.0445101372897625,0.8039215803146362
g,sphere1015g_crop.png,Raw (no flattening),41,0,0,0.0,fixed_kernel,2.0551205716329686,2.0,0.47277961456583406,1.3312992426665013,-35.22038263630097,0.0445101372897625,0.8039215803146362
g,sphere1015g_crop.png,Raw (no flattening),41,0,0,0.0,fixed_kernel,4.0278431652621505,4.0,0.47277961456583406,2.429351658275257,-39.68604142219267,0.0445101372897625,0.8039215803146362
g,sphere1015g_crop.png,Raw (no flattening),41,0,0,0.0,fixed_kernel,6.01859789020242,6.0,0.47277961456583406,3.69862910517946,-38.5466653088687,0.0445101372897625,0.8039215803146362
g,sphere1015g_crop.png,Raw (no flattening),41,0,0,0.0,fixed_kernel,8.013957858882778,8.0,0.47277961456583406,4.987659393801249,-37.762844756254104,0.0445101372897625,0.8039215803146362
g,sphere1015g_crop.png,Raw (no flattening),41,0,0,0.0,fixed_kernel,10.011169789987033,10.0,0.47277961456583406,6.467629880150485,-35.39586266312978,0.0445101372897625,0.8039215803146362
g,sphere1015g_crop.png,Raw (no flattening),41,0,0,0.0,fixed_kernel,12.00930974552447,12.0,0.47277961456583406,8.190254425618646,-31.800789561024345,0.0445101372897625,0.8039215803146362
g,sphere1015g_crop.png,Fixed 40px,41,40,40,97.5609756097561,quadrature,2.0,1.8173687849893085,0.8349674840055059,2.279867193326732,13.993359666336591,0.04449302330613136,0.8039215803146362
g,sphere1015g_crop.png,Fixed 40px,41,40,40,97.5609756097561,quadrature,4.0,3.9118830888273637,0.8349674840055059,5.61094741658034,40.273685414508506,0.04449302330613136,0.8039215803146362
g,sphere1015g_crop.png,Fixed 40px,41,40,40,97.5609756097561,quadrature,6.0,5.9416184075261445,0.8349674840055059,17.17712457658528,186.28540960975465,0.04449302330613136,0.8039215803146362
g,sphere1015g_crop.png,Fixed 40px,41,40,40,97.5609756097561,quadrature,8.0,7.9563075167224095,0.8349674840055059,18.687419066529614,133.59273833162018,0.04449302330613136,0.8039215803146362
g,sphere1015g_crop.png,Fixed 40px,41,40,40,97.5609756097561,quadrature,10.0,9.965080496446253,0.8349674840055059,20.396470521693622,103.96470521693622,0.04449302330613136,0.8039215803146362
g,sphere1015g_crop.png,Fixed 40px,41,40,40,97.5609756097561,quadrature,12.0,11.970915975841343,0.8349674840055059,22.952648528094063,91.27207106745051,0.04449302330613136,0.8039215803146362
g,sphere1015g_crop.png,Fixed 40px,41,40,40,97.5609756097561,fixed_kernel,2.167295711098623,2.0,0.8349674840055059,2.486103953520684,14.70995585832883,0.04449302330613136,0.8039215803146362
g,sphere1015g_crop.png,Fixed 40px,41,40,40,97.5609756097561,fixed_kernel,4.086217162528992,4.0,0.8349674840055059,5.806121809212804,42.090387717410266,0.04449302330613136,0.8039215803146362
g,sphere1015g_crop.png,Fixed 40px,41,40,40,97.5609756097561,fixed_kernel,6.057818972150495,6.0,0.8349674840055059,17.20989140904404,184.09385437502786,0.04449302330613136,0.8039215803146362
g,sphere1015g_crop.png,Fixed 40px,41,40,40,97.5609756097561,fixed_kernel,8.043455146847435,8.0,0.8349674840055059,18.718448363742453,132.71651326456382,0.04449302330613136,0.8039215803146362
g,sphere1015g_crop.png,Fixed 40px,41,40,40,97.5609756097561,fixed_kernel,10.034797989962055,10.0,0.8349674840055059,20.42879825145831,103.57956654327786,0.04449302330613136,0.8039215803146362
g,sphere1015g_crop.png,Fixed 40px,41,40,40,97.5609756097561,fixed_kernel,12.029013704346108,12.0,0.8349674840055059,22.98516006277793,91.08100321203678,0.04449302330613136,0.8039215803146362
g,sphere1015g_crop.png,14% of radius,41,5,5,12.195121951219512,quadrature,6.0,4.2639972186932065,4.221176106131631,6.412443335505948,6.8740555917658,0.0,0.0
g,sphere1015g_crop.png,14% of radius,41,5,5,12.195121951219512,quadrature,8.0,6.795709843792876,4.221176106131631,8.40868921821179,5.108615227647384,0.0,0.0
g,sphere1015g_crop.png,14% of radius,41,5,5,12.195121951219512,quadrature,10.0,9.06541076184766,4.221176106131631,10.438222215527368,4.382222155273681,0.0,0.0
g,sphere1015g_crop.png,14% of radius,41,5,5,12.195121951219512,quadrature,12.0,11.23306157203028,4.221176106131631,12.526590573478476,4.388254778987299,0.0,0.0
g,sphere1015g_crop.png,14% of radius,41,5,5,12.195121951219512,fixed_kernel,4.671009282690049,2.0,4.221176106131631,4.937914864281256,5.7140880147747195,0.0,0.0
g,sphere1015g_crop.png,14% of radius,41,5,5,12.195121951219512,fixed_kernel,5.815352759633469,4.0,4.221176106131631,6.214035672413197,6.855696107502453,0.0,0.0
g,sphere1015g_crop.png,14% of radius,41,5,5,12.195121951219512,fixed_kernel,7.336097581069693,6.0,4.221176106131631,7.744598552606838,5.568368836740317,0.0,0.0
g,sphere1015g_crop.png,14% of radius,41,5,5,12.195121951219512,fixed_kernel,9.045348402299195,8.0,4.221176106131631,9.463874834868523,4.626979680107674,0.0,0.0
g,sphere1015g_crop.png,14% of radius,41,5,5,12.195121951219512,fixed_kernel,10.854415125605644,10.0,4.221176106131631,11.315804868151607,4.250710307343426,0.0,0.0
g,sphere1015g_crop.png,14% of radius,41,5,5,12.195121951219512,fixed_kernel,12.720783298169048,12.0,4.221176106131631,13.28612008235515,4.444197899884625,0.0,0.0
g,sphere1015g_crop.png,20% of radius,41,8,8,19.51219512195122,quadrature,6.0,2.232415188171946,5.56922996720545,6.3626840346131655,6.044733910219424,0.0,0.0
g,sphere1015g_crop.png,20% of radius,41,8,8,19.51219512195122,quadrature,8.0,5.743141785850388,5.56922996720545,8.602691211264819,7.533640140810238,0.0,0.0
g,sphere1015g_crop.png,20% of radius,41,8,8,19.51219512195122,quadrature,10.0,8.305641310120537,5.56922996720545,10.620254261613105,6.202542616131055,0.0,0.0
g,sphere1015g_crop.png,20% of radius,41,8,8,19.51219512195122,quadrature,12.0,10.629378042594062,5.56922996720545,12.653507775132262,5.445898126102182,0.0,0.0
g,sphere1015g_crop.png,20% of radius,41,8,8,19.51219512195122,fixed_kernel,5.917459119218249,2.0,5.56922996720545,6.230193138254957,5.284937550663183,0.0,0.0
g,sphere1015g_crop.png,20% of radius,41,8,8,19.51219512195122,fixed_kernel,6.856844932446643,4.0,5.56922996720545,7.3939138089042356,7.832594753837561,0.0,0.0
g,sphere1015g_crop.png,20% of radius,41,8,8,19.51219512195122,fixed_kernel,8.186349762111268,6.0,5.56922996720545,8.793924362517064,7.421801145338575,0.0,0.0
g,sphere1015g_crop.png,20% of radius,41,8,8,19.51219512195122,fixed_kernel,9.74763163171543,8.0,5.56922996720545,10.366123349694993,6.345046072188489,0.0,0.0
g,sphere1015g_crop.png,20% of radius,41,8,8,19.51219512195122,fixed_kernel,11.446236168611026,10.0,5.56922996720545,12.078642932385733,5.525019355348913,0.0,0.0
g,sphere1015g_crop.png,20% of radius,41,8,8,19.51219512195122,fixed_kernel,13.22937347071354,12.0,5.56922996720545,13.954051028590712,5.47779197164116,0.0,0.0
g,sphere1015g_crop.png,25% of radius,41,10,10,24.390243902439025,quadrature,8.0,4.832713991010865,6.375333362349599,8.736766324625297,9.209579057816208,0.0,0.0
g,sphere1015g_crop.png,25% of radius,41,10,10,24.390243902439025,quadrature,10.0,7.704227704248633,6.375333362349599,10.84239158398943,8.423915839894303,0.0,0.0
g,sphere1015g_crop.png,25% of radius,41,10,10,24.390243902439025,quadrature,12.0,10.166372239836202,6.375333362349599,12.834701861806513,6.95584884838761,0.0,0.0
g,sphere1015g_crop.png,25% of radius,41,10,10,24.390243902439025,fixed_kernel,6.681682084706503,2.0,6.375333362349599,7.090167540043603,6.113512288650639,0.0,0.0
g,sphere1015g_crop.png,25% of radius,41,10,10,24.390243902439025,fixed_kernel,7.526278993040839,4.0,6.375333362349599,8.191379459233227,8.837042405780753,0.0,0.0
g,sphere1015g_crop.png,25% of radius,41,10,10,24.390243902439025,fixed_kernel,8.7547059048884,6.0,6.375333362349599,9.56164077576238,9.217155660516339,0.0,0.0
